Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.155623125,0.679951875,0.124081875,0.659193125
10182,0.165223,0.695057,0.137914,0.666646
10188,0.154757,0.657763,0.129409,0.638951
10190,0.154757,0.657763,0.129221,0.631619
10192,0.154757,0.657763,0.129221,0.631619
10194,0.191392,0.695728,0.1597165,0.6809435
10196,0.192692,0.746428,0.1604215,0.7084385
10201,0.1744745,0.7313455,0.1456085,0.7007315
10204,0.155332,0.680188,0.1297615,0.6526985
10206,0.155332,0.680188,0.1297615,0.6526985
10212,0.165598,0.709682,0.138431,0.686809
10214,0.165223,0.695057,0.137914,0.666646
10216,0.155332,0.680188,0.1297615,0.6526985
10218,0.154957,0.665563,0.129409,0.638951
10220,0.165773,0.716507,0.138619,0.694141
10222,0.165973,0.724307,0.138619,0.694141
10224,0.1841905,0.7393895,0.1535965,0.7082635
10228,0.165023,0.687257,0.137914,0.666646
10234,0.192892,0.754228,0.1609385,0.7286015
10236,0.193067,0.761053,0.1609385,0.7286015
10238,0.165973,0.724307,0.138619,0.694141
10240,0.165773,0.716507,0.138431,0.686809
10242,0.1742995,0.7245205,0.145444,0.694316
10244,0.1750495,0.7537705,0.146149,0.721811
10246,0.165773,0.716507,0.138431,0.686809
10248,0.166148,0.731132,0.1387835,0.7005565
10250,0.1750495,0.7537705,0.146149,0.721811
10252,0.165773,0.716507,0.138619,0.694141
10254,0.155507,0.687013,0.129926,0.659114
10256,0.155707,0.694813,0.130114,0.666446
10258,0.165223,0.695057,0.137914,0.666646
10260,0.1740995,0.7167205,0.145444,0.694316
10264,0.165773,0.716507,0.138619,0.694141
10266,0.155507,0.687013,0.129926,0.659114
10268,0.155132,0.672388,0.1295735,0.6453665
10270,0.155132,0.672388,0.1295735,0.6453665
10272,0.155132,0.672388,0.1295735,0.6453665
10274,0.155132,0.672388,0.1295735,0.6453665
10276,0.155332,0.680188,0.129926,0.659114
10278,0.165023,0.687257,0.137726,0.659314
10283,0.165973,0.724307,0.138619,0.694141
10285,0.165398,0.701882,0.1382665,0.6803935
10287,0.165773,0.716507,0.138619,0.694141
10289,0.165223,0.695057,0.137914,0.666646
10291,0.155332,0.680188,0.1297615,0.6526985
10293,0.165598,0.709682,0.138431,0.686809
10295,0.165598,0.709682,0.138431,0.686809
10297,0.165598,0.709682,0.1382665,0.6803935
10307,0.165023,0.687257,0.137914,0.666646
10309,0.165223,0.695057,0.137914,0.666646
10313,0.165773,0.716507,0.138619,0.694141
10323,0.192692,0.746428,0.160586,0.714854
10325,0.192692,0.746428,0.160586,0.714854
10327,0.192892,0.754228,0.160774,0.722186
10329,0.193067,0.761053,0.1611265,0.7359335
10331,0.193442,0.775678,0.161291,0.742349
10333,0.193442,0.775678,0.161479,0.749681
10335,0.203158,0.783722,0.1694435,0.7562965
10337,0.193817,0.790303,0.1618315,0.7634285
10339,0.193442,0.775678,0.161479,0.749681
10341,0.193642,0.783478,0.1616435,0.7560965
10342,0.193642,0.783478,0.1616435,0.7560965
10344,0.1847405,0.7608395,0.1543015,0.7357585
10346,0.193442,0.775678,0.161479,0.749681
10348,0.193442,0.775678,0.161479,0.749681
