Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
10710,0.110,0.707,0.116,0.787,0.000,1.768
10726,0.105,0.685,0.116,0.789,0.000,1.770
10730,0.151,0.547,0.188,0.821,0.000,0.070
10740,0.115,0.773,0.116,0.782,0.000,1.891
10746,0.194,0.851,0.209,0.828,0.000,2.517
10750,0.202,0.831,0.208,0.783,0.000,2.589
10772,0.101,0.598,0.116,0.796,0.000,1.731
10777,0.108,0.685,0.116,0.789,0.000,1.654
10850,0.196,0.830,0.209,0.799,0.000,2.415
10853,0.206,0.838,0.213,0.806,0.000,2.299
10857,0.197,0.808,0.211,0.777,0.000,2.301
10861,0.200,0.808,0.212,0.793,0.000,2.301
10863,0.198,0.816,0.212,0.792,0.000,2.300
10865,0.195,0.816,0.207,0.776,0.000,2.300
10867,0.200,0.802,0.211,0.777,0.000,2.302
10869,0.197,0.808,0.211,0.777,0.000,2.301
10871,0.200,0.808,0.211,0.777,0.000,2.348
10873,0.197,0.808,0.207,0.769,0.000,2.347
10875,0.196,0.794,0.204,0.770,0.000,2.348
10877,0.197,0.808,0.204,0.769,0.000,2.347
10879,0.201,0.816,0.207,0.769,0.000,2.347
10895,0.206,0.838,0.209,0.838,0.000,2.299
10897,0.209,0.831,0.213,0.854,0.000,2.300
10900,0.202,0.823,0.211,0.823,0.000,2.300
10902,0.206,0.846,0.213,0.806,0.000,2.298
10904,0.205,0.823,0.206,0.847,0.000,2.242
10906,0.210,0.846,0.154,0.948,0.000,2.299
10908,0.206,0.846,0.155,0.972,0.000,2.240
10910,0.201,0.816,0.156,1.021,0.000,2.301
10912,0.205,0.823,0.162,0.895,0.000,2.300
10914,0.206,0.838,0.211,0.862,0.000,2.299
10918,0.200,0.808,0.175,0.896,0.000,2.417
10920,0.200,0.808,0.145,0.880,0.000,2.417
10922,0.200,0.808,0.171,0.848,0.000,2.417
10924,0.196,0.801,0.169,0.896,0.000,2.475
10927,0.196,0.794,0.170,0.833,0.000,2.418
10932,0.202,0.831,0.144,0.870,0.000,2.473
10934,0.201,0.816,0.153,0.989,0.000,2.521
10936,0.205,0.823,0.148,0.926,0.000,2.521
10938,0.202,0.831,0.208,0.862,0.000,2.520
10941,0.201,0.816,0.207,0.895,0.000,2.521
10943,0.202,0.823,0.210,0.902,0.000,2.520
10945,0.200,0.808,0.144,0.871,0.000,2.522
10947,0.199,0.830,0.198,0.901,0.000,2.589
10949,0.201,0.816,0.149,0.934,0.000,2.649
10951,0.202,0.823,0.220,1.075,0.000,2.590
10953,0.203,0.838,0.145,0.885,0.000,2.647
10955,0.197,0.808,0.187,1.053,0.000,2.695
10957,0.201,0.860,0.156,1.017,0.000,2.819
10959,0.201,0.860,0.158,0.961,0.000,2.865
10961,0.205,0.860,0.175,1.277,0.000,2.981
10963,0.201,0.860,0.160,1.072,0.000,3.109
10965,0.207,0.889,0.164,1.133,0.000,3.211
10967,0.207,0.896,0.153,0.975,0.000,3.454
10969,0.206,0.881,0.160,1.070,0.000,3.618
10971,0.205,0.903,0.168,1.100,0.000,3.801
10973,0.202,0.990,0.169,1.138,0.000,4.014
10975,0.193,1.112,0.165,1.126,0.000,4.188
10977,0.144,0.819,0.169,1.148,0.000,4.499
10979,0.144,0.855,0.146,1.145,0.000,4.426
10981,0.141,0.826,0.143,1.147,0.000,4.556
10984,0.141,0.854,0.143,1.145,0.000,4.368
10987,0.144,0.898,0.140,1.141,0.000,4.550
10998,0.309,1.447,0.265,1.107,0.000,3.171
11003,0.303,1.418,0.298,1.260,0.000,3.173
11012,0.292,1.316,0.254,1.275,0.000,3.181
11014,0.293,1.366,0.260,1.437,0.000,3.130
11018,0.292,1.359,0.299,1.193,0.000,3.131
11021,0.292,1.395,0.258,1.442,0.000,3.128
11023,0.282,1.307,0.288,1.174,0.000,3.134
11025,0.285,1.344,0.251,1.407,0.000,3.131
11027,0.286,1.315,0.238,1.274,0.000,3.134
11029,0.275,1.263,0.219,1.278,0.000,3.184
11031,0.274,1.213,0.269,1.181,0.000,3.188
11033,0.268,1.219,0.207,1.124,0.000,3.187
11035,0.271,1.213,0.264,1.165,0.000,3.304
11038,0.277,1.285,0.234,1.387,0.000,3.182
11040,0.275,1.307,0.279,1.133,0.000,3.180
11042,0.259,1.139,0.269,1.068,0.000,3.194
11044,0.264,1.169,0.240,1.192,0.000,3.191
11046,0.259,1.146,0.216,1.382,0.000,3.193
11048,0.270,1.234,0.257,1.234,0.000,3.244
11050,0.276,1.271,0.245,1.413,0.000,3.183
11052,0.282,1.307,0.232,1.275,0.000,3.134
11054,0.271,1.205,0.269,1.189,0.000,3.189
11073,0.251,1.319,0.264,1.280,0.000,15.763
11078,0.288,1.149,0.279,1.289,0.000,4.483
11081,0.308,1.353,0.287,1.408,0.000,4.467
11083,0.301,1.309,0.284,1.381,0.000,4.470
11086,0.300,1.338,0.288,1.479,0.000,4.467
11089,0.299,1.287,0.303,1.256,0.000,4.402
11091,0.293,1.250,0.298,1.187,0.000,4.405
11093,0.305,1.352,0.311,1.219,0.000,4.397
11108,0.292,1.272,0.288,1.138,0.000,5.447
11110,0.294,1.265,0.292,1.194,0.000,5.390
11113,0.290,1.258,0.279,1.399,0.000,5.506
11115,0.287,1.214,0.267,1.293,0.000,5.451
11117,0.294,1.301,0.286,1.144,0.000,5.444
11120,0.288,1.228,0.284,1.126,0.000,5.392
11132,0.293,1.287,0.253,1.310,0.000,5.156
11134,0.284,1.177,0.251,1.248,0.000,5.164
11149,0.286,1.235,0.269,1.393,0.000,4.939
11153,0.287,1.214,0.275,1.434,0.000,4.825
11205,0.291,1.264,0.290,1.170,0.000,2.211
11208,0.293,1.287,0.289,1.240,0.000,2.267
11210,0.295,1.308,0.289,1.364,0.000,2.207
11218,0.293,1.287,0.278,1.429,0.000,2.209
11223,0.290,1.258,0.274,1.462,0.000,2.211
11225,0.285,1.220,0.270,1.418,0.000,2.145
11227,0.291,1.301,0.260,1.276,0.000,2.208
11230,0.286,1.243,0.282,1.140,0.000,2.212
11241,0.294,1.337,0.261,1.282,0.000,2.205
11245,0.289,1.272,0.280,1.114,0.000,2.210
11250,0.290,1.250,0.252,1.175,0.000,2.142
