Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
11252,0.291,1.301,0.249,1.171,0.000,2.138
11254,0.290,1.287,0.259,1.172,0.000,2.209
11281,0.295,1.352,0.288,1.171,0.000,2.030
11284,0.293,1.322,0.273,1.441,0.000,2.032
11286,0.294,1.337,0.263,1.345,0.000,2.031
11289,0.301,1.468,0.296,1.310,0.000,2.020
11293,0.287,1.250,0.283,1.164,0.000,2.038
11296,0.290,1.330,0.292,1.448,0.000,2.031
11298,0.294,1.337,0.269,1.424,0.000,2.031
11300,0.288,1.264,0.283,1.194,0.000,2.037
11304,0.289,1.272,0.269,1.303,0.000,2.036
11306,0.281,1.213,0.257,1.283,0.000,2.040
11308,0.288,1.264,0.254,1.279,0.000,2.037
11310,0.286,1.243,0.251,1.281,0.000,2.038
11313,0.286,1.278,0.263,1.436,0.000,2.035
11315,0.296,1.366,0.280,1.146,0.000,2.028
11317,0.283,1.249,0.283,1.163,0.000,2.038
11319,0.288,1.308,0.267,1.449,0.000,2.033
11321,0.288,1.308,0.259,1.380,0.000,1.963
11339,0.285,1.272,0.283,1.405,0.000,1.862
11341,0.289,1.315,0.283,1.237,0.000,1.789
11343,0.283,1.249,0.268,1.344,0.000,1.864
11344,0.478,1.008,0.488,1.409,0.000,0.121
11347,0.282,1.315,0.265,1.457,0.000,1.858
11353,0.274,1.213,0.269,1.141,0.000,1.866
11358,0.263,1.154,0.260,1.154,0.000,1.801
11361,0.268,1.176,0.262,1.137,0.000,1.799
11367,0.264,1.204,0.256,1.181,0.000,1.738
11375,0.276,1.234,0.263,1.227,0.000,1.969
11378,0.272,1.219,0.268,1.165,0.000,1.865
11381,0.269,1.190,0.224,1.179,0.000,1.868
11384,0.272,1.263,0.259,1.216,0.000,1.792
11393,0.274,1.205,0.269,1.142,0.000,1.971
11398,0.261,1.132,0.240,1.195,0.000,1.976
11402,0.262,1.140,0.258,1.084,0.000,1.918
11404,0.263,1.190,0.244,1.104,0.000,1.971
11406,0.262,1.140,0.253,1.061,0.000,1.976
11408,0.261,1.125,0.250,1.101,0.000,1.919
11411,0.243,0.979,0.201,1.065,0.000,2.162
11419,0.242,1.014,0.205,1.322,0.000,2.287
11422,0.246,0.986,0.208,1.325,0.000,2.232
11424,0.242,1.014,0.223,1.054,0.000,2.229
11426,0.241,0.964,0.214,1.491,0.000,2.233
11430,0.239,0.971,0.197,1.058,0.000,2.232
11433,0.240,0.978,0.198,1.065,0.000,2.162
11435,0.242,1.008,0.193,1.204,0.000,2.160
11437,0.240,1.029,0.219,1.037,0.000,2.158
11439,0.240,0.985,0.198,1.269,0.000,2.161
11456,0.236,1.007,0.213,1.046,0.000,2.113
11459,0.238,1.036,0.215,1.493,0.000,2.052
11461,0.240,1.022,0.203,1.337,0.000,2.112
11463,0.241,1.036,0.210,1.430,0.000,2.053
11467,0.210,1.078,0.202,1.314,0.000,2.046
11470,0.234,1.181,0.202,1.314,0.000,2.039
11472,0.235,0.999,0.196,1.299,0.000,2.055
11476,0.205,0.981,0.209,0.998,0.000,2.054
11478,0.232,0.963,0.229,0.963,0.000,1.989
11510,0.234,0.993,0.194,1.260,0.000,1.986
11517,0.227,0.949,0.189,1.208,0.000,1.990
11519,0.231,0.956,0.201,1.358,0.000,1.989
11521,0.212,0.953,0.195,1.278,0.000,1.988
11523,0.231,0.949,0.188,1.192,0.000,1.990
11528,0.236,1.137,0.188,1.090,0.000,1.974
11533,0.233,1.014,0.204,1.392,0.000,1.984
11535,0.229,0.963,0.191,1.231,0.000,1.988
11538,0.229,0.970,0.192,1.238,0.000,1.988
11540,0.229,1.007,0.190,1.211,0.000,1.985
11542,0.236,1.051,0.190,1.074,0.000,1.981
11544,0.246,1.333,0.192,1.216,0.000,1.899
11546,0.228,1.071,0.194,1.253,0.000,1.921
11549,0.229,0.999,0.194,1.219,0.000,1.927
11552,0.233,1.014,0.208,1.400,0.000,1.926
11554,0.233,1.014,0.211,1.495,0.000,1.926
11556,0.232,0.963,0.193,1.254,0.000,1.931
11560,0.229,0.963,0.197,1.262,0.000,1.930
11563,0.232,1.007,0.209,1.038,0.000,1.927
11565,0.233,0.978,0.193,1.253,0.000,1.883
11567,0.228,1.035,0.192,1.020,0.000,1.924

