Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
11281,0.479,1.198,0.485,1.052,0.000,0.174
11284,0.478,1.173,0.418,1.266,0.000,0.174
11286,0.478,1.186,0.407,1.189,0.000,0.174
11289,0.477,1.301,0.484,1.173,0.000,0.174
11293,0.474,1.109,0.477,1.039,0.000,0.174
11296,0.470,1.179,0.461,1.274,0.000,0.174
11298,0.478,1.186,0.411,1.253,0.000,0.174
11300,0.475,1.121,0.472,1.064,0.000,0.174
11304,0.475,1.128,0.426,1.151,0.000,0.174
11306,0.465,1.077,0.404,1.130,0.000,0.174
11308,0.475,1.121,0.397,1.129,0.000,0.174
11310,0.474,1.103,0.390,1.129,0.000,0.174
11313,0.468,1.134,0.397,1.258,0.000,0.174
11315,0.480,1.211,0.470,1.032,0.000,0.174
11317,0.467,1.108,0.477,1.039,0.000,0.174
11319,0.469,1.160,0.404,1.271,0.000,0.174
11321,0.469,1.160,0.395,1.214,0.000,0.168
11339,0.468,1.128,0.445,1.235,0.000,0.160
11341,0.470,1.166,0.466,1.102,0.000,0.154
11343,0.467,1.108,0.421,1.183,0.000,0.160
11344,0.454,0.867,0.421,1.183,0.000,0.451
11347,0.455,1.166,0.398,1.278,0.000,0.160
11353,0.451,1.076,0.448,1.018,0.000,0.160
11358,0.434,1.024,0.427,1.023,0.000,0.154
11361,0.442,1.043,0.433,1.011,0.000,0.154
11367,0.429,1.068,0.414,1.048,0.000,0.149
11375,0.452,1.095,0.423,1.087,0.000,0.168
11378,0.444,1.082,0.442,1.037,0.000,0.160
11381,0.443,1.056,0.343,1.041,0.000,0.160
11384,0.439,1.120,0.416,1.080,0.000,0.154
11393,0.450,1.069,0.448,1.018,0.000,0.168
11398,0.433,1.004,0.378,1.052,0.000,0.168
11402,0.433,1.011,0.431,0.966,0.000,0.163
11404,0.429,1.055,0.397,0.983,0.000,0.168
11406,0.433,1.011,0.423,0.947,0.000,0.168
11408,0.432,0.998,0.410,0.977,0.000,0.163
11411,0.411,0.869,0.309,0.934,0.000,0.182
11419,0.406,0.900,0.284,1.144,0.000,0.193
11422,0.419,0.876,0.291,1.144,0.000,0.188
11424,0.406,0.900,0.358,0.930,0.000,0.188
11426,0.411,0.856,0.284,1.278,0.000,0.188
11430,0.404,0.862,0.301,0.927,0.000,0.188
11433,0.405,0.869,0.301,0.933,0.000,0.182
11435,0.406,0.894,0.272,1.047,0.000,0.182
11437,0.400,0.913,0.350,0.917,0.000,0.182
11439,0.405,0.875,0.275,1.098,0.000,0.182
11456,0.392,0.894,0.337,0.922,0.000,0.179
11459,0.393,0.919,0.285,1.285,0.000,0.174
11461,0.399,0.907,0.278,1.156,0.000,0.179
11463,0.400,0.920,0.282,1.233,0.000,0.174
11467,0.324,0.955,0.277,1.143,0.000,0.174
11470,0.364,1.046,0.277,1.149,0.000,0.174
11472,0.392,0.887,0.268,1.123,0.000,0.174
11476,0.326,0.870,0.335,0.884,0.000,0.174
11478,0.390,0.855,0.382,0.855,0.000,0.168
11510,0.391,0.881,0.267,1.092,0.000,0.168
11517,0.382,0.842,0.264,1.046,0.000,0.168
11519,0.389,0.848,0.271,1.169,0.000,0.168
11521,0.347,0.845,0.268,1.105,0.000,0.168
11523,0.389,0.842,0.264,1.034,0.000,0.168
11528,0.376,1.008,0.274,0.964,0.000,0.168
11533,0.385,0.899,0.273,1.200,0.000,0.168
11535,0.382,0.855,0.265,1.066,0.000,0.168
11538,0.383,0.861,0.266,1.072,0.000,0.168
11540,0.378,0.893,0.265,1.053,0.000,0.168
11542,0.386,0.932,0.281,0.945,0.000,0.168
11544,0.371,1.180,0.266,1.079,0.000,0.163
11546,0.366,0.950,0.267,1.092,0.000,0.163
11549,0.377,0.886,0.273,1.060,0.000,0.163
11552,0.385,0.899,0.281,1.208,0.000,0.163
11554,0.385,0.899,0.277,1.284,0.000,0.163
11556,0.390,0.855,0.266,1.085,0.000,0.163
11560,0.382,0.855,0.274,1.092,0.000,0.163
11563,0.384,0.893,0.329,0.916,0.000,0.163
11565,0.391,0.868,0.266,1.085,0.000,0.160
11567,0.371,0.918,0.293,0.901,0.000,0.163

