Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
10710,0.109,0.655,0.116,0.724,0.000,2.784
10726,0.105,0.635,0.116,0.724,0.000,2.784
10730,0.161,0.517,0.168,0.758,0.000,0.320
10740,0.116,0.716,0.116,0.724,0.000,2.979
10746,0.175,0.789,0.181,0.770,0.000,3.936
10750,0.179,0.770,0.178,0.730,0.000,4.042
10772,0.098,0.554,0.116,0.724,0.000,2.713
10777,0.107,0.635,0.116,0.724,0.000,2.606
10850,0.175,0.770,0.180,0.744,0.000,3.776
10853,0.182,0.777,0.183,0.750,0.000,3.599
10857,0.174,0.749,0.180,0.723,0.000,3.599
10861,0.177,0.749,0.181,0.737,0.000,3.599
10863,0.175,0.756,0.181,0.737,0.000,3.599
10865,0.173,0.756,0.177,0.723,0.000,3.599
10867,0.176,0.743,0.180,0.723,0.000,3.599
10869,0.174,0.749,0.180,0.723,0.000,3.599
10871,0.177,0.749,0.180,0.723,0.000,3.670
10873,0.174,0.749,0.177,0.717,0.000,3.670
10875,0.173,0.736,0.175,0.716,0.000,3.670
10877,0.174,0.749,0.175,0.716,0.000,3.670
10879,0.178,0.757,0.177,0.717,0.000,3.670
10895,0.182,0.777,0.181,0.777,0.000,3.599
10897,0.184,0.771,0.185,0.790,0.000,3.599
10900,0.178,0.763,0.182,0.763,0.000,3.599
10902,0.183,0.784,0.183,0.750,0.000,3.599
10904,0.180,0.763,0.180,0.784,0.000,3.511
10906,0.185,0.784,0.149,0.866,0.000,3.599
10908,0.183,0.784,0.151,0.887,0.000,3.511
10910,0.178,0.757,0.153,0.927,0.000,3.599
10912,0.180,0.763,0.152,0.820,0.000,3.599
10914,0.182,0.777,0.184,0.797,0.000,3.599
10918,0.177,0.749,0.161,0.821,0.000,3.776
10920,0.177,0.749,0.140,0.806,0.000,3.776
10922,0.177,0.749,0.156,0.781,0.000,3.776
10924,0.174,0.743,0.156,0.821,0.000,3.865
10927,0.173,0.736,0.155,0.767,0.000,3.776
10932,0.179,0.770,0.139,0.799,0.000,3.865
10934,0.178,0.757,0.150,0.900,0.000,3.936
10936,0.180,0.763,0.144,0.846,0.000,3.936
10938,0.179,0.770,0.181,0.797,0.000,3.936
10941,0.178,0.757,0.182,0.824,0.000,3.936
10943,0.178,0.763,0.185,0.830,0.000,3.936
10945,0.177,0.749,0.139,0.799,0.000,3.936
10947,0.177,0.770,0.176,0.829,0.000,4.042
10949,0.178,0.757,0.145,0.853,0.000,4.131
10951,0.178,0.763,0.199,0.979,0.000,4.042
10953,0.180,0.776,0.140,0.812,0.000,4.131
10955,0.174,0.749,0.176,0.956,0.000,4.202
10957,0.180,0.797,0.153,0.927,0.000,4.397
10959,0.180,0.797,0.152,0.880,0.000,4.468
10961,0.182,0.797,0.178,1.150,0.000,4.645
10963,0.180,0.797,0.158,0.974,0.000,4.840
10965,0.185,0.824,0.164,1.028,0.000,5.000
10967,0.186,0.830,0.149,0.893,0.000,5.372
10969,0.184,0.817,0.158,0.974,0.000,5.620
10971,0.184,0.837,0.166,1.002,0.000,5.904
10973,0.187,0.918,0.168,1.041,0.000,6.241
10975,0.186,1.030,0.166,1.041,0.000,6.525
10977,0.138,0.759,0.168,1.041,0.000,6.968
10979,0.140,0.792,0.153,1.039,0.000,6.862
10981,0.137,0.765,0.151,1.039,0.000,7.057
10984,0.138,0.792,0.151,1.039,0.000,6.773
10987,0.142,0.832,0.148,1.039,0.000,7.057
10998,0.282,1.342,0.233,1.048,0.000,5.000
11003,0.277,1.314,0.262,1.179,0.000,5.000
11012,0.264,1.220,0.233,1.181,0.000,5.000
11014,0.267,1.266,0.244,1.324,0.000,4.929
11018,0.266,1.260,0.260,1.119,0.000,4.929
11021,0.268,1.293,0.243,1.330,0.000,4.929
11023,0.257,1.212,0.251,1.098,0.000,4.929
11025,0.260,1.246,0.237,1.297,0.000,4.929
11027,0.260,1.219,0.222,1.180,0.000,4.929
11029,0.250,1.171,0.209,1.179,0.000,5.000
11031,0.247,1.124,0.238,1.097,0.000,5.000
11033,0.243,1.130,0.194,1.044,0.000,5.000
