Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.18634125,0.69085875,0.181076875,0.712348125
10182,0.1962995,0.7065205,0.197492,0.721228
10188,0.1842505,0.6685295,0.186079,0.691081
10190,0.1842505,0.6685295,0.185443,0.683237
10192,0.1842505,0.6685295,0.185443,0.683237
10194,0.2211265,0.7085335,0.2235115,0.7379485
10196,0.2252605,0.7595195,0.2258965,0.7673635
10201,0.2071405,0.7434395,0.208333,0.758147
10204,0.186079,0.691081,0.1872715,0.7057885
10206,0.186079,0.691081,0.1872715,0.7057885
10212,0.197492,0.721228,0.199241,0.742799
10214,0.1962995,0.7065205,0.197492,0.721228
10216,0.186079,0.691081,0.1872715,0.7057885
10218,0.1848865,0.6763735,0.186079,0.691081
10220,0.1980485,0.7280915,0.199877,0.750643
10222,0.1986845,0.7359355,0.199877,0.750643
10224,0.2168045,0.7520155,0.217997,0.766723
10228,0.1956635,0.6986765,0.197492,0.721228
10234,0.2258965,0.7673635,0.2276455,0.7889345
10236,0.226453,0.774227,0.2276455,0.7889345
10238,0.1986845,0.7359355,0.199877,0.750643
10240,0.1980485,0.7280915,0.199241,0.742799
10242,0.206584,0.736576,0.2077765,0.7512835
10244,0.208969,0.765991,0.2101615,0.7806985
10246,0.1980485,0.7280915,0.199241,0.742799
10248,0.199241,0.742799,0.2004335,0.7575065
10250,0.208969,0.765991,0.2101615,0.7806985
10252,0.1980485,0.7280915,0.199877,0.750643
10254,0.1866355,0.6979445,0.187828,0.712652
10256,0.1872715,0.7057885,0.188464,0.720496
10258,0.1962995,0.7065205,0.197492,0.721228
10260,0.205948,0.728732,0.2077765,0.7512835
10264,0.1980485,0.7280915,0.199877,0.750643
10266,0.1866355,0.6979445,0.187828,0.712652
10268,0.185443,0.683237,0.1866355,0.6979445
10270,0.185443,0.683237,0.1866355,0.6979445
10272,0.185443,0.683237,0.1866355,0.6979445
10274,0.185443,0.683237,0.1866355,0.6979445
10276,0.186079,0.691081,0.187828,0.712652
10278,0.1956635,0.6986765,0.196856,0.713384
10283,0.1986845,0.7359355,0.199877,0.750643
10285,0.196856,0.713384,0.1986845,0.7359355
10287,0.1980485,0.7280915,0.199877,0.750643
10289,0.1962995,0.7065205,0.197492,0.721228
10291,0.186079,0.691081,0.1872715,0.7057885
10293,0.197492,0.721228,0.199241,0.742799
10295,0.197492,0.721228,0.199241,0.742799
10297,0.197492,0.721228,0.1986845,0.7359355
10307,0.1956635,0.6986765,0.197492,0.721228
10309,0.1962995,0.7065205,0.197492,0.721228
10313,0.1980485,0.7280915,0.199877,0.750643
10323,0.2252605,0.7595195,0.226453,0.774227
10325,0.2252605,0.7595195,0.226453,0.774227
10327,0.2258965,0.7673635,0.227089,0.782071
10329,0.226453,0.774227,0.2282815,0.7967785
10331,0.2276455,0.7889345,0.228838,0.803642
10333,0.2276455,0.7889345,0.229474,0.811486
10335,0.2373095,0.7975105,0.2390585,0.8190815
10337,0.228838,0.803642,0.2306665,0.8261935
10339,0.2276455,0.7889345,0.229474,0.811486
10341,0.2282815,0.7967785,0.2300305,0.8183495
10342,0.2282815,0.7967785,0.2300305,0.8183495
10344,0.2185535,0.7735865,0.220382,0.796138
10346,0.2276455,0.7889345,0.229474,0.811486
10348,0.2276455,0.7889345,0.229474,0.811486
10350,0.2276455,0.7889345,0.229474,0.811486
10352,0.226453,0.774227,0.2276455,0.7889345
10355,0.199241,0.742799,0.2010695,0.7653505
10357,0.227089,0.782071,0.2282815,0.7967785
10359,0.2258965,0.7673635,0.227089,0.782071
10361,0.2258965,0.7673635,0.227089,0.782071
10363,0.1980485,0.7280915,0.199877,0.750643
10370,0.1962995,0.7065205,0.197492,0.721228
10372,0.199877,0.750643,0.201626,0.772214
10374,0.217997,0.766723,0.2191895,0.7814305
10376,0.2168045,0.7520155,0.2185535,0.7735865
10382,0.227089,0.782071,0.2282815,0.7967785
10384,0.2366735,0.7896665,0.238502,0.812218
10386,0.2373095,0.7975105,0.2390585,0.8190815
10388,0.227089,0.782071,0.2282815,0.7967785
10390,0.226453,0.774227,0.2282815,0.7967785
10402,0.227089,0.782071,0.228838,0.803642
10404,0.228838,0.803642,0.2306665,0.8261935
10413,0.2276455,0.7889345,0.228838,0.803642
10415,0.228838,0.803642,0.2306665,0.8261935
10418,0.227089,0.782071,0.2282815,0.7967785
10420,0.2282815,0.7967785,0.2300305,0.8183495
10422,0.2390585,0.8190815,0.240251,0.833789
10424,0.240251,0.833789,0.2420795,0.8563405
10426,0.240251,0.833789,0.2414435,0.8484965
10428,0.2396945,0.8269255,0.2414435,0.8484965
10430,0.2390585,0.8190815,0.240887,0.841633
10432,0.237866,0.804374,0.2396945,0.8269255
10434,0.228838,0.803642,0.2306665,0.8261935
10436,0.2282815,0.7967785,0.2300305,0.8183495
10438,0.236117,0.782803,0.2373095,0.7975105
10440,0.226453,0.774227,0.2282815,0.7967785
10444,0.208969,0.765991,0.210718,0.787562
10446,0.224068,0.744812,0.2258965,0.7673635
10448,0.197492,0.721228,0.1986845,0.7359355
10450,0.196856,0.713384,0.1980485,0.7280915
10454,0.195107,0.691813,0.1962995,0.7065205
10468,0.197492,0.721228,0.199241,0.742799
10470,0.2258965,0.7673635,0.227089,0.782071
10472,0.227089,0.782071,0.228838,0.803642
10474,0.2282815,0.7967785,0.2300305,0.8183495
10476,0.2276455,0.7889345,0.229474,0.811486
10478,0.226453,0.774227,0.2276455,0.7889345
10480,0.2077765,0.7512835,0.208969,0.765991
10482,0.199877,0.750643,0.2010695,0.7653505
10484,0.2258965,0.7673635,0.227089,0.782071
10486,0.2276455,0.7889345,0.228838,0.803642
10488,0.199877,0.750643,0.2010695,0.7653505
10490,0.2252605,0.7595195,0.227089,0.782071
10492,0.208969,0.765991,0.2101615,0.7806985
10494,0.2077765,0.7512835,0.208969,0.765991
10496,0.2071405,0.7434395,0.208969,0.765991
10498,0.226453,0.774227,0.2276455,0.7889345
10500,0.2258965,0.7673635,0.227089,0.782071
10504,0.2252605,0.7595195,0.227089,0.782071
10506,0.2101615,0.7806985,0.211354,0.795406
10508,0.226453,0.774227,0.2282815,0.7967785
10510,0.226453,0.774227,0.2276455,0.7889345
10512,0.2004335,0.7575065,0.202262,0.780058
10648,0.273641,1.245599,0.271256,1.216184
10660,0.289888,1.349192,0.287503,1.319777
10663,0.289888,1.349192,0.287503,1.319777
10665,0.289888,1.349192,0.287503,1.319777
