Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.11625,0.69375,0.11,0.71625
10182,0.124,0.709,0.124,0.724
10188,0.116,0.671,0.116,0.694
10190,0.116,0.671,0.116,0.686
10192,0.116,0.671,0.116,0.686
10194,0.146,0.709,0.146,0.739
10196,0.146,0.761,0.146,0.769
10201,0.131,0.746,0.131,0.761
10204,0.116,0.694,0.116,0.709
10206,0.116,0.694,0.116,0.709
10212,0.124,0.724,0.124,0.746
10214,0.124,0.709,0.124,0.724
10216,0.116,0.694,0.116,0.709
10218,0.116,0.679,0.116,0.694
10220,0.124,0.731,0.124,0.754
10222,0.124,0.739,0.124,0.754
10224,0.139,0.754,0.139,0.769
10228,0.124,0.701,0.124,0.724
10234,0.146,0.769,0.146,0.791
10236,0.146,0.776,0.146,0.791
10238,0.124,0.739,0.124,0.754
10240,0.124,0.731,0.124,0.746
10242,0.131,0.739,0.131,0.754
10244,0.131,0.769,0.131,0.784
10246,0.124,0.731,0.124,0.746
10248,0.124,0.746,0.124,0.761
10250,0.131,0.769,0.131,0.784
10252,0.124,0.731,0.124,0.754
10254,0.116,0.701,0.116,0.716
10256,0.116,0.709,0.116,0.724
10258,0.124,0.709,0.124,0.724
10260,0.131,0.731,0.131,0.754
10264,0.124,0.731,0.124,0.754
10266,0.116,0.701,0.116,0.716
10268,0.116,0.686,0.116,0.701
10270,0.116,0.686,0.116,0.701
10272,0.116,0.686,0.116,0.701
10274,0.116,0.686,0.116,0.701
10276,0.116,0.694,0.116,0.716
10278,0.124,0.701,0.124,0.716
10283,0.124,0.739,0.124,0.754
10285,0.124,0.716,0.124,0.739
10287,0.124,0.731,0.124,0.754
10289,0.124,0.709,0.124,0.724
10291,0.116,0.694,0.116,0.709
10293,0.124,0.724,0.124,0.746
10295,0.124,0.724,0.124,0.746
10297,0.124,0.724,0.124,0.739
10307,0.124,0.701,0.124,0.724
10309,0.124,0.709,0.124,0.724
10313,0.124,0.731,0.124,0.754
10323,0.146,0.761,0.146,0.776
10325,0.146,0.761,0.146,0.776
10327,0.146,0.769,0.146,0.784
10329,0.146,0.776,0.146,0.799
10331,0.146,0.791,0.146,0.806
10333,0.146,0.791,0.146,0.814
10335,0.154,0.799,0.154,0.821
10337,0.146,0.806,0.146,0.829
10339,0.146,0.791,0.146,0.814
10341,0.146,0.799,0.146,0.821
10342,0.146,0.799,0.146,0.821
10344,0.139,0.776,0.139,0.799
10346,0.146,0.791,0.146,0.814
10348,0.146,0.791,0.146,0.814
10350,0.146,0.791,0.146,0.814
10352,0.146,0.776,0.146,0.791
10355,0.124,0.746,0.124,0.769
10357,0.146,0.784,0.146,0.799
10359,0.146,0.769,0.146,0.784
10361,0.146,0.769,0.146,0.784
10363,0.124,0.731,0.124,0.754
10370,0.124,0.709,0.124,0.724
10372,0.124,0.754,0.124,0.776
10374,0.139,0.769,0.139,0.784
10376,0.139,0.754,0.139,0.776
10382,0.146,0.784,0.146,0.799
10384,0.154,0.791,0.154,0.814
10386,0.154,0.799,0.154,0.821
10388,0.146,0.784,0.146,0.799
10390,0.146,0.776,0.146,0.799
10402,0.146,0.784,0.146,0.806
10404,0.146,0.806,0.146,0.829
10413,0.146,0.791,0.146,0.806
10415,0.146,0.806,0.146,0.829
10418,0.146,0.784,0.146,0.799
10420,0.146,0.799,0.146,0.821
10422,0.154,0.821,0.154,0.836
10424,0.154,0.836,0.154,0.859
10426,0.154,0.836,0.154,0.851
10428,0.154,0.829,0.154,0.851
10430,0.154,0.821,0.154,0.844
10432,0.154,0.806,0.154,0.829
10434,0.146,0.806,0.146,0.829
10436,0.146,0.799,0.146,0.821
10438,0.154,0.784,0.154,0.799
10440,0.146,0.776,0.146,0.799
10444,0.131,0.769,0.131,0.791
10446,0.146,0.746,0.146,0.769
10448,0.124,0.724,0.124,0.739
10450,0.124,0.716,0.124,0.731
10454,0.124,0.694,0.124,0.709
10468,0.124,0.724,0.124,0.746
10470,0.146,0.769,0.146,0.784
10472,0.146,0.784,0.146,0.806
10474,0.146,0.799,0.146,0.821
10476,0.146,0.791,0.146,0.814
10478,0.146,0.776,0.146,0.791
10480,0.131,0.754,0.131,0.769
10482,0.124,0.754,0.124,0.769
10484,0.146,0.769,0.146,0.784
10486,0.146,0.791,0.146,0.806
10488,0.124,0.754,0.124,0.769
10490,0.146,0.761,0.146,0.784
10492,0.131,0.769,0.131,0.784
10494,0.131,0.754,0.131,0.769
10496,0.131,0.746,0.131,0.769
10498,0.146,0.776,0.146,0.791
10500,0.146,0.769,0.146,0.784
10504,0.146,0.761,0.146,0.784
10506,0.131,0.784,0.131,0.799
10508,0.146,0.776,0.146,0.799
10510,0.146,0.776,0.146,0.791
10512,0.124,0.761,0.124,0.784
10648,0.154,1.256,0.154,1.226
10660,0.161,1.361,0.161,1.331
10663,0.161,1.361,0.161,1.331
10665,0.161,1.361,0.161,1.331
