Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y
10178,0.16902,0.79578,0.16531875,0.80146875
10182,0.176382,0.813678,0.1761,0.81114
10188,0.165978,0.769962,0.166794,0.777306
10190,0.165978,0.769962,0.16581,0.76845
10192,0.165978,0.769962,0.16581,0.76845
10194,0.191826,0.815394,0.193389,0.829461
10196,0.198378,0.874362,0.197079,0.862671
10201,0.185958,0.856182,0.185565,0.852645
10204,0.168876,0.796044,0.168639,0.793911
10206,0.168876,0.796044,0.168639,0.793911
10212,0.178272,0.830688,0.178806,0.835494
10214,0.176382,0.813678,0.1761,0.81114
10216,0.168876,0.796044,0.168639,0.793911
10218,0.166986,0.779034,0.166794,0.777306
10220,0.179154,0.838626,0.17979,0.84435
10222,0.180162,0.847698,0.17979,0.84435
10224,0.192582,0.865878,0.192165,0.862125
10228,0.175374,0.804606,0.1761,0.81114
10234,0.199386,0.883434,0.199785,0.887025
10236,0.200268,0.891372,0.199785,0.887025
10238,0.180162,0.847698,0.17979,0.84435
10240,0.179154,0.838626,0.178806,0.835494
10242,0.185076,0.848244,0.184704,0.844896
10244,0.188856,0.882264,0.188394,0.878106
10246,0.179154,0.838626,0.178806,0.835494
10248,0.181044,0.855636,0.180651,0.852099
10250,0.188856,0.882264,0.188394,0.878106
10252,0.179154,0.838626,0.17979,0.84435
10254,0.169758,0.803982,0.1695,0.80166
10256,0.170766,0.813054,0.170484,0.810516
10258,0.176382,0.813678,0.1761,0.81114
10260,0.184068,0.839172,0.184704,0.844896
10264,0.179154,0.838626,0.17979,0.84435
10266,0.169758,0.803982,0.1695,0.80166
10268,0.167868,0.786972,0.167655,0.785055
10270,0.167868,0.786972,0.167655,0.785055
10272,0.167868,0.786972,0.167655,0.785055
10274,0.167868,0.786972,0.167655,0.785055
10276,0.168876,0.796044,0.1695,0.80166
10278,0.175374,0.804606,0.175116,0.802284
10283,0.180162,0.847698,0.17979,0.84435
10285,0.177264,0.821616,0.177945,0.827745
10287,0.179154,0.838626,0.17979,0.84435
10289,0.176382,0.813678,0.1761,0.81114
10291,0.168876,0.796044,0.168639,0.793911
10293,0.178272,0.830688,0.178806,0.835494
10295,0.178272,0.830688,0.178806,0.835494
10297,0.178272,0.830688,0.177945,0.827745
10307,0.175374,0.804606,0.1761,0.81114
10309,0.176382,0.813678,0.1761,0.81114
10313,0.179154,0.838626,0.17979,0.84435
10323,0.198378,0.874362,0.19794,0.87042
10325,0.198378,0.874362,0.19794,0.87042
10327,0.199386,0.883434,0.198924,0.879276
10329,0.200268,0.891372,0.200769,0.895881
10331,0.202158,0.908382,0.20163,0.90363
10333,0.202158,0.908382,0.202614,0.912486
10335,0.208782,0.918078,0.209091,0.920859
10337,0.204048,0.925392,0.204459,0.929091
10339,0.202158,0.908382,0.202614,0.912486
10341,0.203166,0.917454,0.203475,0.920235
10342,0.203166,0.917454,0.203475,0.920235
10344,0.195354,0.890826,0.195855,0.895335
10346,0.202158,0.908382,0.202614,0.912486
10348,0.202158,0.908382,0.202614,0.912486
10350,0.202158,0.908382,0.202614,0.912486
10352,0.200268,0.891372,0.199785,0.887025
10355,0.181044,0.855636,0.181635,0.860955
10357,0.201276,0.900444,0.200769,0.895881
10359,0.199386,0.883434,0.198924,0.879276
10361,0.199386,0.883434,0.198924,0.879276
10363,0.179154,0.838626,0.17979,0.84435
10370,0.176382,0.813678,0.1761,0.81114
10372,0.182052,0.864708,0.182496,0.868704
10374,0.194472,0.882888,0.19401,0.87873
10376,0.192582,0.865878,0.193026,0.869874
10382,0.201276,0.900444,0.200769,0.895881
10384,0.207774,0.909006,0.20823,0.91311
10386,0.208782,0.918078,0.209091,0.920859
10388,0.201276,0.900444,0.200769,0.895881
10390,0.200268,0.891372,0.200769,0.895881
10402,0.201276,0.900444,0.20163,0.90363
10404,0.204048,0.925392,0.204459,0.929091
10413,0.202158,0.908382,0.20163,0.90363
10415,0.204048,0.925392,0.204459,0.929091
10418,0.201276,0.900444,0.200769,0.895881
10420,0.203166,0.917454,0.203475,0.920235
10422,0.211554,0.943026,0.210936,0.937464
10424,0.213444,0.960036,0.213765,0.962925
10426,0.213444,0.960036,0.212781,0.954069
10428,0.212562,0.952098,0.212781,0.954069
10430,0.211554,0.943026,0.21192,0.94632
10432,0.209664,0.926016,0.210075,0.929715
10434,0.204048,0.925392,0.204459,0.929091
10436,0.203166,0.917454,0.203475,0.920235
10438,0.206892,0.901068,0.206385,0.896505
10440,0.200268,0.891372,0.200769,0.895881
10444,0.188856,0.882264,0.189255,0.885855
10446,0.196488,0.857352,0.197079,0.862671
10448,0.178272,0.830688,0.177945,0.827745
10450,0.177264,0.821616,0.176961,0.818889
10454,0.174492,0.796668,0.174255,0.794535
10468,0.178272,0.830688,0.178806,0.835494
10470,0.199386,0.883434,0.198924,0.879276
10472,0.201276,0.900444,0.20163,0.90363
10474,0.203166,0.917454,0.203475,0.920235
10476,0.202158,0.908382,0.202614,0.912486
10478,0.200268,0.891372,0.199785,0.887025
10480,0.186966,0.865254,0.186549,0.861501
10482,0.182052,0.864708,0.181635,0.860955
10484,0.199386,0.883434,0.198924,0.879276
10486,0.202158,0.908382,0.20163,0.90363
10488,0.182052,0.864708,0.181635,0.860955
10490,0.198378,0.874362,0.198924,0.879276
10492,0.188856,0.882264,0.188394,0.878106
10494,0.186966,0.865254,0.186549,0.861501
10496,0.185958,0.856182,0.186549,0.861501
10498,0.200268,0.891372,0.199785,0.887025
10500,0.199386,0.883434,0.198924,0.879276
10504,0.198378,0.874362,0.198924,0.879276
10506,0.190746,0.899274,0.190239,0.894711
10508,0.200268,0.891372,0.200769,0.895881
10510,0.200268,0.891372,0.199785,0.887025
10512,0.182934,0.872646,0.18348,0.87756
10648,0.266364,1.436316,0.258906,1.369194
10660,0.284508,1.555932,0.276735,1.485975
10663,0.284508,1.555932,0.276735,1.485975
10665,0.284508,1.555932,0.276735,1.485975
