Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
11433,0.379,0.845,0.266,0.915,0.000,0.960
11435,0.379,0.870,0.229,1.029,0.000,0.960
11437,0.371,0.889,0.319,0.896,0.000,0.960
11439,0.379,0.851,0.229,1.080,0.000,0.960
11456,0.364,0.870,0.304,0.902,0.000,0.940
11459,0.364,0.896,0.229,1.266,0.000,0.915
11461,0.371,0.883,0.229,1.138,0.000,0.940
11463,0.371,0.896,0.229,1.215,0.000,0.915
11467,0.289,0.935,0.229,1.125,0.000,0.915
11470,0.326,1.023,0.229,1.131,0.000,0.915
11472,0.364,0.864,0.221,1.106,0.000,0.915
11476,0.296,0.850,0.304,0.864,0.000,0.915
11478,0.364,0.832,0.356,0.832,0.000,0.885
11510,0.364,0.858,0.221,1.074,0.000,0.885
11517,0.356,0.819,0.221,1.029,0.000,0.885
11519,0.364,0.825,0.221,1.151,0.000,0.885
11521,0.319,0.825,0.221,1.087,0.000,0.885
11523,0.364,0.819,0.221,1.017,0.000,0.885
11528,0.341,0.985,0.236,0.947,0.000,0.885
11533,0.356,0.876,0.221,1.182,0.000,0.885
11535,0.356,0.832,0.221,1.049,0.000,0.885
11538,0.356,0.838,0.221,1.055,0.000,0.885
11540,0.349,0.870,0.221,1.036,0.000,0.885
11542,0.356,0.909,0.244,0.927,0.000,0.885
11544,0.326,1.157,0.221,1.062,0.000,0.860
11546,0.334,0.927,0.221,1.074,0.000,0.860
11549,0.349,0.864,0.229,1.042,0.000,0.860
11552,0.356,0.876,0.229,1.189,0.000,0.860
11554,0.356,0.876,0.221,1.266,0.000,0.860
11556,0.364,0.832,0.221,1.068,0.000,0.860
11560,0.356,0.832,0.229,1.074,0.000,0.860
11563,0.356,0.870,0.296,0.896,0.000,0.860
11565,0.364,0.845,0.221,1.068,0.000,0.840
11567,0.341,0.896,0.259,0.883,0.000,0.860

