Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
11281,0.439,1.376,0.454,1.204,0.000,0.183
11284,0.439,1.346,0.371,1.459,0.000,0.183
11286,0.439,1.361,0.364,1.369,0.000,0.183
11289,0.431,1.496,0.446,1.346,0.000,0.183
11293,0.439,1.271,0.446,1.189,0.000,0.183
11296,0.431,1.354,0.416,1.466,0.000,0.183
11298,0.439,1.361,0.364,1.444,0.000,0.183
11300,0.439,1.286,0.439,1.219,0.000,0.183
11304,0.439,1.294,0.386,1.324,0.000,0.183
11306,0.431,1.234,0.364,1.300,0.000,0.183
11308,0.439,1.286,0.356,1.300,0.000,0.183
11310,0.439,1.264,0.349,1.300,0.000,0.183
11313,0.431,1.301,0.349,1.451,0.000,0.183
11315,0.439,1.391,0.439,1.181,0.000,0.183
11317,0.431,1.271,0.446,1.189,0.000,0.183
11319,0.431,1.331,0.356,1.466,0.000,0.183
11321,0.431,1.331,0.349,1.400,0.000,0.177
11339,0.431,1.294,0.401,1.421,0.000,0.168
11341,0.431,1.339,0.431,1.264,0.000,0.162
11343,0.431,1.271,0.379,1.361,0.000,0.168
11344,0.431,1.271,0.379,1.361,0.000,0.168
11347,0.416,1.339,0.349,1.474,0.000,0.168
11353,0.416,1.234,0.416,1.166,0.000,0.168
11358,0.401,1.174,0.394,1.174,0.000,0.162
11361,0.409,1.196,0.401,1.159,0.000,0.162
11367,0.394,1.226,0.379,1.204,0.000,0.157
11375,0.416,1.256,0.386,1.249,0.000,0.177
11378,0.409,1.241,0.409,1.189,0.000,0.168
11381,0.409,1.211,0.304,1.200,0.000,0.168
11384,0.401,1.286,0.379,1.241,0.000,0.162
11393,0.416,1.226,0.416,1.166,0.000,0.177
11398,0.401,1.151,0.341,1.211,0.000,0.177
11402,0.401,1.159,0.401,1.106,0.000,0.172
11404,0.394,1.211,0.364,1.129,0.000,0.177
11406,0.401,1.159,0.394,1.084,0.000,0.177
11408,0.401,1.144,0.379,1.121,0.000,0.172
11411,0.386,0.994,0.274,1.076,0.000,0.192
11419,0.379,1.031,0.236,1.324,0.000,0.203
11422,0.394,1.001,0.244,1.324,0.000,0.198
11424,0.379,1.031,0.326,1.069,0.000,0.198
11426,0.386,0.979,0.229,1.481,0.000,0.198
11430,0.379,0.986,0.266,1.069,0.000,0.198
11433,0.379,0.994,0.266,1.076,0.000,0.192
11435,0.379,1.024,0.229,1.211,0.000,0.192
11437,0.371,1.046,0.319,1.054,0.000,0.192
11439,0.379,1.001,0.229,1.271,0.000,0.192
11456,0.364,1.024,0.304,1.061,0.000,0.188
11459,0.364,1.054,0.229,1.489,0.000,0.183
11461,0.371,1.039,0.229,1.339,0.000,0.188
11463,0.371,1.054,0.229,1.429,0.000,0.183
11467,0.289,1.100,0.229,1.324,0.000,0.183
11470,0.326,1.204,0.229,1.331,0.000,0.183
11472,0.364,1.016,0.221,1.301,0.000,0.183
11476,0.296,1.000,0.304,1.016,0.000,0.183
11478,0.364,0.979,0.356,0.979,0.000,0.177
11510,0.364,1.009,0.221,1.264,0.000,0.177
11517,0.356,0.964,0.221,1.211,0.000,0.177
11519,0.364,0.971,0.221,1.354,0.000,0.177
11521,0.319,0.970,0.221,1.279,0.000,0.177
11523,0.364,0.964,0.221,1.196,0.000,0.177
11528,0.341,1.159,0.236,1.114,0.000,0.177
11533,0.356,1.031,0.221,1.391,0.000,0.177
11535,0.356,0.979,0.221,1.234,0.000,0.177
11538,0.356,0.986,0.221,1.241,0.000,0.177
11540,0.349,1.024,0.221,1.219,0.000,0.177
11542,0.356,1.069,0.244,1.091,0.000,0.177
11544,0.326,1.361,0.221,1.249,0.000,0.172
11546,0.334,1.091,0.221,1.264,0.000,0.172
11549,0.349,1.016,0.229,1.226,0.000,0.172
11552,0.356,1.031,0.229,1.399,0.000,0.172
11554,0.356,1.031,0.221,1.489,0.000,0.172
11556,0.364,0.979,0.221,1.256,0.000,0.172
11560,0.356,0.979,0.229,1.264,0.000,0.172
11563,0.356,1.024,0.296,1.054,0.000,0.172
11565,0.364,0.994,0.221,1.256,0.000,0.168
11567,0.341,1.054,0.259,1.039,0.000,0.172

