xs,ys,Es,nXs,nYs
-21.237462,14.160809,0.86940704,2,2
-16.025123,-3.9043815,1.6737349,3,3
17.889078,15.30387,9.1394988,5,6
-21.994422,-10.379653,1.1109405,2,2
-7.5343115,-22.259744,2.2451053,3,4
-23.375805,-23.824636,3.331487,4,4
13.914918,-24.409096,0.84888952,2,2
-15.947778,-14.289968,3.0981318,3,3
-9.6327014,-22.285559,1.4439031,3,2
24.852237,17.76248,3.0993471,3,4
-7.9267727,23.897828,2.7050989,4,4
1.1151966,21.985849,11.211378,4,4
-23.490557,-7.5971992,2.5094792,3,4
12.669118,19.3598,9.7558695,4,5
22.788009,-15.088287,6.9699658,3,4
25.896387,-8.8434951,2.188972,4,3
8.9110783,10.702896,9.7686687,3,3
-19.590746,19.741325,4.3796129,5,4
-10.471926,23.909199,1.8901757,3,4
21.205312,22.175828,2.264926,4,3
-23.256109,-8.3669334,1.9239753,4,3
-23.345806,15.382135,6.250318,2,2
-23.178121,-14.853598,2.5131297,4,3
-14.499924,-8.372452,7.7698039,5,4
-21.243256,10.640858,0.7924958,2,2
-18.823476,22.25794,1.905086,3,2
-4.6260328,-0.19472596,1.9041169,2,2
-2.8150228,3.5028498,6.0825528,4,3
-7.7773598,-16.54201,3.3252995,4,2
4.4730939,-20.822971,4.4886395,3,4
-23.214187,-12.391159,8.2499498,5,5
-23.786522,-18.701286,1.6066744,2,2
20.987684,18.615507,1.6272942,2,3
25.464086,10.385478,0.96953628,2,2
24.30067,18.404156,1.1289805,2,2
25.849471,-9.4546253,7.8193833,6,5
6.5884767,-17.917419,3.6165343,2,2
5.9232126,4.0744162,7.1556534,5,5
10.647374,-16.423407,3.428096,3,3
11.474704,11.737001,6.5448267,3,2
0.93641795,-9.8979087,10.617871,5,5
16.767317,10.41793,1.2017073,2,2
3.0668855,16.569428,8.3415697,5,6
24.439885,1.6081761,1.5997267,3,3
-22.269876,9.8786711,1.2759554,2,2
-14.052877,-5.826389,3.0076909,3,3
-15.222819,22.687344,1.6259491,2,2
6.288531,-18.118676,2.9641236,2,2
-23.328547,-22.001971,1.8586741,2,2
-19.233776,-12.165928,2.5108817,2,2
2.3700294,-1.8415907,10.71928,5,5
-13.794133,-21.55534,2.8296442,4,4
-12.21954,-21.872557,5.0976206,4,6
-0.77577137,23.083811,1.4455329,2,3
-16.501585,21.580796,0.92459091,2,2
-6.9312564,-2.8440804,11.134096,5,4
-14.712986,20.37238,0.8678491,2,2
-15.973418,-20.37339,1.0249524,2,2
5.5884153,20.252752,1.3352176,3,2
-7.5855345,10.267628,7.1905344,3,3
-19.853118,9.9520222,5.5334425,2,2
-23.208341,1.0165109,7.3665246,5,5
4.0415137,22.438109,0.94478224,2,2
25.50312,3.8600798,1.2365357,2,2
-19.781617,-8.7835243,7.3996568,3,3
26.323324,-0.15192841,1.043626,2,2
13.857121,-11.776044,3.0490725,4,3
-20.759976,-20.158469,1.5796076,2,2
20.163867,-20.946663,2.1037942,3,2
4.513252,-22.147008,1.0158109,2,2
-15.807895,-18.22318,1.2450451,2,2
-10.71363,-23.586901,1.0058492,2,2
-20.006655,19.31893,1.2961881,2,2
18.497864,22.126932,1.577807,2,3
-12.557376,23.49511,1.604694,3,2
19.982679,-21.892041,4.6149059,5,5
-16.210608,23.57652,1.6667854,2,3
-17.926108,-14.663611,5.7706077,2,2
-9.1663419,21.873867,2.8047146,3,2
21.728935,-23.616129,0.82012651,2,2
-17.656541,-6.5167048,1.7435469,3,3
20.84829,-8.7965772,1.0868553,2,2
25.543899,13.628954,2.1632444,3,3
-8.4049529,-21.31806,2.0134246,2,2
16.82676,20.393451,1.3095798,2,2
24.799586,-2.150518,1.1189965,2,2
24.112345,-22.037683,2.5704502,2,4
-16.355489,-19.670907,1.5251254,2,2
16.778703,-5.6437169,8.4992639,4,4
-4.9955069,-19.707874,2.1592351,3,3
-21.333227,21.259177,1.1890324,2,2
-23.482167,-19.855125,1.7561273,3,3
26.052254,0.17843106,0.98922452,2,2
23.71733,22.847309,2.2318485,3,3
19.467011,1.3455367,2.8537149,3,3
19.06437,25.39129,3.4407979,2,2
-22.394127,-3.5553479,2.4292348,2,2
-12.291172,-20.11219,1.7484084,2,2
22.524453,-22.850946,1.3614093,2,2
1.2456774,23.44449,1.1557495,2,2
-15.713128,23.941599,1.2466408,2,2
-8.9732714,1.3518631,5.6451795,3,4
-16.220964,-21.663696,1.0287324,2,2
10.536112,21.172501,2.2233535,3,3
-19.142248,8.7773385,1.5375336,2,2
21.795081,11.470311,1.5999775,2,2
-3.3976203,-19.915981,5.2530171,3,3
2.6661914,1.6102273,8.8962313,4,3
-20.730038,-18.76482,8.432429,5,5
-6.5267192,20.335244,1.1397009,2,2
-15.857168,-13.533148,2.0962887,2,2
-24.461682,-17.386877,1.1048216,2,3
21.481777,-15.73748,3.5084822,3,3
0.55315932,-17.637707,2.2986297,3,2
1.6341377,-14.532572,2.209461,2,2
18.290213,-13.880844,2.2144869,4,3
10.476783,18.283448,7.2596321,3,5
-23.836917,26.123658,2.6638251,2,3
3.8126367,-17.112581,1.9635468,2,2
-6.3166645,-16.112843,5.4409378,2,2
20.462454,5.4092179,3.2931592,3,4
-4.1633205,24.388317,2.830601,4,2
15.437275,-9.1921144,8.7598998,5,4
-20.463345,12.131048,4.3921313,3,3
11.973483,18.215936,2.9091968,4,3
-4.611062,24.429193,2.276868,3,4
1.87876,17.594502,8.2808247,2,3
-16.005798,18.990094,1.8629267,3,2
5.7585532,15.525354,7.3096519,4,4
25.888735,9.5912999,3.2871018,3,4
-16.510661,23.455622,5.7645838,3,3
2.80428,-6.2673397,7.3202096,2,2
14.912287,-22.064218,2.2897175,4,4
-13.495595,13.408337,10.978279,5,4
1.2608909,16.239007,6.0873393,4,5
-21.763781,-10.10122,3.492701,2,2
-2.0669987,-23.353542,2.2350106,4,2
24.448698,17.208211,1.8475146,2,2
-4.7490745,-21.095688,1.1871084,2,2
-15.722636,-18.233772,3.2239568,2,2
3.034006,-15.311776,3.551851,3,3
9.429974,21.142612,1.1445931,2,3
1.7008145,15.437076,3.2919874,2,3
-3.4969416,-18.715351,8.7613439,3,2
24.709809,-20.27488,2.1669211,2,2
-7.5944527,-4.5835425,2.2715439,3,4
19.909301,-17.135117,2.2521681,3,3
-23.74445,-22.178812,0.96357632,2,2
-18.665208,20.378431,1.90738,2,2
24.387769,-9.4953342,2.4878477,3,3
-14.506627,-14.624905,1.3493764,3,2
-9.6730114,21.791711,2.5624346,2,2
-20.259543,-15.089404,1.1177809,2,2
11.905266,-14.812083,9.0047255,4,4
14.958193,23.380701,2.6741787,3,4
13.597764,-6.7011994,10.88871,8,7
-16.524013,18.047198,8.3023254,5,5
-24.366587,-13.836535,1.0766301,2,2
-8.4250444,-2.9322652,2.6690006,3,3
13.453393,23.832696,8.1604036,3,4
20.061731,-15.136329,8.5485224,3,4
-22.78536,-16.117327,1.7009082,2,2
-21.688386,7.3241242,1.6220054,2,2
25.141747,9.1825814,1.6324229,3,3
11.878976,-4.8252764,8.4149021,3,3
-13.742389,22.629326,1.5988386,4,2
-4.4712746,-11.517112,2.3315083,3,3
-1.3661574,1.3713689,7.9611477,5,4
16.778086,-17.219404,1.604122,2,2
23.272634,18.344452,1.7929202,2,2
-22.672004,16.218253,6.564202,2,2
-23.760591,-8.6221711,1.0771844,2,2
1.5534332,-20.47905,2.3963486,3,3
17.233978,4.3618618,3.6460818,4,4
25.116905,-8.6316377,9.772515,4,4
-16.332237,-20.270745,5.6742722,4,5
6.7073376,18.288822,1.3889816,2,3
-22.683194,-20.86924,1.3412097,2,3
6.7226431,12.743608,3.9489048,4,5
-10.216489,8.2674204,8.2424384,4,4
-20.475839,-6.7563728,5.2184944,3,5
12.215402,-17.840809,3.59199,2,3
14.834989,14.711362,6.7623625,2,2
11.982309,20.098402,1.2826711,3,2
7.708875,-21.461805,1.6569348,4,2
0.39290908,22.743427,1.4094896,2,3
-20.214388,-10.743637,2.319534,3,4
-14.208283,12.974536,3.018556,4,3
3.6426829,2.1308123,4.9884465,5,3
25.591542,13.205813,1.4820148,3,2
-21.129713,-23.187114,8.6109482,3,2
-5.5308444,-19.982973,1.766165,3,3
-16.637083,12.625337,1.9260737,4,3
25.827618,7.6847425,1.3690087,2,3
9.6952192,-6.3238467,5.8869919,4,4
6.2824633,15.202277,8.2980333,6,4
18.483535,7.3633419,4.8930428,5,5
-8.9704394,-21.569798,1.8247599,3,3
1.4951332,-21.856451,1.5531816,2,3
2.3122996,20.348138,2.9530636,4,4
9.9700461,16.132117,1.1978802,3,2
-14.415947,-22.889911,1.5774466,3,3
-1.9401477,-10.514764,8.8888607,3,4
6.9678303,15.364471,7.8906046,5,5
-22.014997,1.7544695,2.747497,3,3
-18.499934,20.641636,3.5712402,5,3
-18.0982,18.595862,5.3727356,6,5
7.8743636,-21.908044,1.476576,2,3
22.964903,-12.56835,1.3422169,3,2
-16.041896,-21.764506,3.3201957,5,4
-13.74775,-22.787844,3.064053,4,5
-2.2363051,-20.948342,2.7017142,2,3
-21.849364,-5.7834436,2.9164517,3,3
-7.2554741,-21.473852,2.692578,4,3
18.730672,-22.651452,1.979037,4,4
-22.864727,3.5667044,1.5956973,3,3
25.713864,10.90976,3.7413976,2,2
25.741716,14.994026,2.6932619,4,4
-20.85331,22.726702,2.759589,4,2
13.114139,-21.891158,2.1684802,3,3
-9.9565152,-19.80951,2.6756037,3,5
-18.400302,17.8617,1.6024723,3,4
-22.901663,-22.205875,1.6512214,4,3
-20.809644,18.453024,1.707318,3,3
-20.1782,21.518245,2.5036376,4,2
10.806732,16.088896,1.7431343,4,3
20.802487,-14.190956,2.9451069,4,4
1.3310058,17.553375,2.1443823,4,3
1.3034305,0.23721005,8.2838375,3,3
15.070941,-19.846945,5.8630023,4,3
-23.135107,17.103487,3.7575011,4,5
1.1409883,22.815219,1.2896876,3,2
7.2140471,-23.381164,1.8642219,4,3
7.8806652,-23.374282,1.5551273,2,3
22.80896,6.8194907,2.5018511,3,4
-5.1339484,-20.395357,1.642784,3,3
19.931322,-15.033495,9.0723419,5,5
-10.521533,22.377036,1.6100924,3,3
23.113434,12.981979,5.8217818,2,3
-22.002035,-9.753306,3.5816031,5,5
-19.422777,-16.899689,1.7850217,3,3
-21.168824,-17.042106,11.803393,4,5
2.9494371,-18.490109,8.343269,5,4
-17.910525,-21.196044,3.6405628,3,4
-10.020054,17.465412,1.4748287,3,3
17.467288,-13.717463,2.736321,3,3
-6.6003161,19.6682,7.9717868,3,5
-5.1376574,24.385525,6.3957208,3,3
13.743986,8.6102762,8.5389119,5,7
-5.4139584,-10.600095,9.1519164,6,6
21.124414,6.6306201,2.9853784,5,3
18.156686,-18.153071,3.4124906,2,4
-14.500452,24.245555,2.8007821,3,5
20.158485,-6.9356183,10.344899,6,6
14.430232,-17.91233,2.5280611,3,3
15.722042,-23.710536,2.7992956,2,2
-23.139,-23.304036,4.1407346,5,4
-7.9422792,16.429835,6.0906404,6,5
22.121758,-11.654754,3.9840017,4,6
-23.260977,-20.958523,3.7621453,4,5
17.832002,-12.5745,2.7177517,4,4
2.5693856,-3.967978,3.0553934,3,3
-19.825175,-22.842561,1.0948073,2,2
-24.128857,-15.986665,3.0792181,3,5
0.61958492,14.676869,6.9254156,4,5
4.0976636,16.76519,5.385683,3,3
24.290839,20.451558,5.5751548,3,3
-1.8871422,21.559982,3.1102283,4,3
18.236029,14.785766,8.0682608,4,4
-16.694765,-17.7471,5.1770762,4,3
12.284548,18.073889,2.9626844,4,5
10.164328,-12.972987,4.1984616,4,4
8.2071812,23.573023,1.3257309,2,3
10.741708,20.365667,3.2882861,4,4
-1.8522974,-3.3223156,7.4579197,6,6
23.566997,19.9017,1.8901655,3,3
-19.09697,-2.027126,2.4585506,3,2
-15.104774,24.181148,3.4466774,5,5
2.8113928,-24.238489,2.9034931,4,4
-14.839559,19.14677,2.1915553,4,3
-18.72392,-20.480537,11.05636,5,8
-15.40266,-18.266119,3.9446927,5,4
11.905578,23.784982,3.0106767,3,5
-16.239942,2.8226004,3.105694,2,2
24.575925,-3.1173336,8.1990383,5,5
-21.99955,6.3652329,1.9074521,3,2
15.985395,-21.30339,3.4524202,3,3
-23.179225,10.813488,2.731287,4,4
14.27154,5.993548,4.4226788,4,4
1.6855401,-22.127845,9.4329206,3,2
20.704882,16.32674,5.8695827,4,4
-22.304356,-18.683485,8.5996304,6,5
14.578945,14.578266,2.8196811,5,3
23.833216,-5.4309258,1.5160127,2,3
7.514755,-21.722298,2.2079539,3,2
-15.900054,7.45989,7.9349798,5,5
-25.048308,-6.2512766,6.4782424,2,2
-18.928487,-2.1772536,2.3216602,3,4
-21.024018,-6.2789468,1.2329615,2,3
17.626662,4.3859558,2.5227382,2,2
-12.176575,19.294299,8.6087441,5,5
21.096914,19.130979,1.5813983,3,2
-1.5136022,-13.18002,9.4140489,5,5
-19.354524,-23.342685,1.7915912,3,3
-14.273646,17.137822,2.5845165,5,3
-8.4491938,15.948344,7.6006202,3,4
-17.282079,13.319477,3.2531105,4,4
12.927421,18.320023,8.7236938,5,4
18.194701,18.940048,1.9953576,4,3
-2.0971435,-21.67865,9.930158,3,2
-21.402335,7.4109626,9.3156258,3,3
26.075789,0.61343691,1.7119186,3,3
1.0393325,-16.286385,1.2428888,3,2
23.443012,-21.123694,2.8589115,3,4
-6.1984631,-18.092228,3.1986458,2,2
13.189924,-16.888748,4.3465039,4,2
4.3684698,4.6522917,6.8209781,4,4
9.9845003,14.340164,5.6414131,3,4
12.840536,-19.599878,3.1679123,2,2
26.158336,-12.391631,4.0196465,4,5
5.4960619,-19.428286,3.6388638,4,4
-0.15031437,-21.169523,2.7446714,4,4
