,Photon energy [keV],Efficiency
0,0.01,0.0
1,0.02998,0.0
2,0.04996,1.96e-35
3,0.06994,2.65e-19
4,0.08992,3.4500000000000004e-12
5,0.10990000000000001,2.52e-08
6,0.12988,5.1e-06
7,0.14986000000000002,0.000134
8,0.16984,0.0011300000000000001
9,0.18982,0.00551
10,0.20980000000000001,0.0197
11,0.22978,0.0475
12,0.24975999999999998,0.0872
13,0.26974000000000004,0.14010999999999998
14,0.28972000000000003,1.08e-08
15,0.3097,1.37e-07
16,0.32968000000000003,1.08e-06
17,0.34966,5.86e-06
18,0.36963999999999997,2.3899999999999998e-05
19,0.38962,8.36e-05
20,0.4096,0.00025
21,0.42957999999999996,0.0006309999999999999
22,0.44956,0.0013800000000000002
23,0.46954,0.0027199999999999998
24,0.48951999999999996,0.00486
25,0.5095,0.00812
26,0.5294800000000001,0.0127
27,0.5494600000000001,0.00047699999999999994
28,0.5694400000000001,0.0009149999999999997
29,0.5894199999999999,0.0016199999999999962
30,0.6093999999999999,0.002689999999999967
31,0.62938,0.004229999999999723
32,0.64936,0.006399999999998022
33,0.66934,0.009359999999987838
34,0.68932,0.0129
35,0.7092999999999999,0.0172
36,0.7292799999999999,0.0228
37,0.74926,0.0295
38,0.76924,0.0373
39,0.78922,0.0463
40,0.8092,0.0565
41,0.8291799999999999,0.0677
42,0.8491599999999999,0.0799
43,0.86914,0.0928
44,0.88912,0.10642
45,0.9091,0.12072999999999999
46,0.92908,0.13577999999999998
47,0.9490599999999999,0.15172
48,0.96904,0.16824
49,0.98902,0.18517
50,1.009,0.20238
51,1.029,0.21971
52,1.049,0.23726999999999998
53,1.0689000000000002,0.25509
54,1.0889000000000002,0.27291
55,1.1089,0.29068
56,1.1289,0.30834
57,1.1489,0.32582
58,1.1688,0.34310999999999997
59,1.1887999999999999,0.36016
60,1.2087999999999999,0.37694
61,1.2288,0.39343
62,1.2488,0.40968000000000004
63,1.2687,0.42568
64,1.2887,0.44143999999999994
65,1.3087,0.45683999999999997
66,1.3287,0.47188
67,1.3487,0.48654
68,1.3685999999999998,0.5008100000000001
69,1.3885999999999998,0.5147
70,1.4085999999999999,0.5282100000000001
71,1.4285999999999999,0.5413399999999999
72,1.4485999999999999,0.5541
73,1.4685,0.5665
74,1.4885,0.5785600000000001
75,1.5085,0.59035
76,1.5285,0.60181
77,1.5485,0.6129199999999998
78,1.5684,0.6236899999999993
79,1.5884,0.6341299999999982
80,1.6084,0.6442299999999954
81,1.6284,0.6540199999999885
82,1.6484,0.663489999999972
83,1.6683,0.6726699999999347
84,1.6883,0.6815499999998516
85,1.7083,0.690149999999673
86,1.7283,0.6984799999993019
87,1.7483,0.7065999999985354
88,1.7682,0.7144699999969987
89,1.7882,0.7220899999940258
90,1.8082,0.7294799999883728
91,1.8282,0.7366299999778521
92,1.8482,0.7435499999589309
93,1.8680999999999999,0.750249999925346
94,1.8881,0.7567399998671998
95,1.9081,0.7630099997679824
96,1.9281,0.7690899996041709
97,1.9481,0.7749799993344673
98,1.968,0.7806799989029064
99,1.988,0.7861999982211596
100,2.008,0.7915099971622025
101,2.028,0.7966599955660565
102,2.048,0.8017099930981115
103,2.0679000000000003,0.8065999893958686
104,2.0879000000000003,0.811339983949531
105,2.1079,0.8159399759015303
106,2.1279,0.8203899645526544
107,2.1479,0.8247199481923433
108,2.1678,0.8289199251851955
109,2.1878,0.8329898932434435
110,2.2078,0.836939849110389
111,2.2278000000000002,0.8407697889288113
112,2.2478000000000002,0.8444897084548594
113,2.2676999999999996,0.8480995984653588
114,2.2876999999999996,0.8516094540647645
115,2.3076999999999996,0.8550092640480049
116,2.3276999999999997,0.8583190161765355
117,2.3476999999999997,0.8615286941233241
118,2.3676,0.8646482802572358
119,2.3876,0.8676877555887939
120,2.4076,0.8706270901084998
121,2.4276,0.8734962613326501
122,2.4476,0.8762751937706932
123,2.4675,0.8789739016517025
124,2.4875,0.8816123001848266
125,2.5075,0.884160335511734
126,2.5275,0.8866479503828126
127,2.5475,0.8890650460442573
128,2.5674,0.8914215579748582
129,2.5874,0.8937073774111135
130,2.6074,0.8959323905374524
131,2.6274,0.8980964778007027
132,2.6474,0.9001994713752479
133,2.6673,0.9022511083331199
134,2.6873,0.9042413773779641
135,2.7073,0.906180451819375
136,2.7273,0.90807737469504
137,2.7473,0.9099120639957919
138,2.7672,0.9116949144145997
139,2.7872,0.9134349046942876
140,2.8072,0.9151219384662399
141,2.8272,0.916765919059836
142,2.8472,0.9183562582038997
143,2.8670999999999998,0.9199133468332561
144,2.8870999999999998,0.9214255592616849
145,2.9071,0.922893264040698
146,2.9271,0.9243158238955992
147,2.9471,0.9257025591831731
148,2.967,0.9270433154183397
149,2.987,0.928336868484138
150,3.007,0.9296041288839408
151,3.027,0.930824401795752
152,3.047,0.9320075416256
153,3.0669,0.933147685061264
154,3.0869,0.9342502809729001
155,3.1069,0.9353151951615228
156,3.1269,0.936346411470711
157,3.1469,0.9373336321242401
158,3.1668000000000003,0.9382825807918082
159,3.1868000000000003,0.93919709820968
160,3.2068000000000003,0.94006688520952
161,3.2268000000000003,0.9409078580288
162,3.2468000000000004,0.941697510355656
163,3.2666999999999997,0.9424516603776
164,3.2866999999999997,0.9431700700908802
165,3.3066999999999998,0.943852555240944
166,3.3266999999999998,0.9444924863150079
167,3.3467,0.94509588411396
168,3.3666,0.94565613426906
169,3.3866,0.946169467504952
170,3.4066,0.946648944535
171,3.4266,0.9470943059773199
172,3.4466,0.9474920627709439
173,3.4665,0.9478483877650651
174,3.4865,0.94816658613944
175,3.5065,0.948432872081352
176,3.5265,0.94864285384072
177,3.5465,0.94883458946935
178,3.5664000000000002,0.9490112080896
179,3.5864000000000003,0.9490928303232
180,3.6064000000000003,0.9491589217116
181,3.6264000000000003,0.9491287147373499
182,3.6464000000000003,0.9491535352161999
183,3.6663,0.94902008946276
184,3.6863,0.9489319680328001
185,3.7063,0.94875576916844
186,3.7263,0.9484907299967601
187,3.7463,0.9482817636250999
188,3.7662,0.94797356765206
189,3.7862,0.94758516267152
190,3.8062,0.9471694189052399
191,3.8261999999999996,0.9467370202024998
192,3.8461999999999996,0.9462132398752601
193,3.8661,0.9456818433140399
194,3.8861,0.945048630471
195,3.9061,0.9443974878464
196,3.9261,0.94372917750804
197,3.9461,0.94296764553225
198,3.966,0.9421884672166398
199,3.986,0.9413146107864
200,4.006,0.9404325956608001
201,4.026,0.9395236148759999
202,4.046,0.9385291652193599
203,4.0659,0.9374389278346501
204,4.0859000000000005,0.93640935620544
205,4.105899999999999,0.9352049280496
206,4.1259,0.93407083188885
207,4.145899999999999,0.9328402668161601
208,4.1658,0.931512197136
209,4.1858,0.9301662145152
210,4.2058,0.92881158535032
211,4.2258000000000004,0.927359405008
212,4.2458,0.9258889970116
213,4.2657,0.9243300812263999
214,4.285699999999999,0.9227434716735
215,4.3057,0.9211584516121599
216,4.325699999999999,0.9194642893092501
217,4.3457,0.91777167864536
218,4.365600000000001,0.9159694812628599
219,4.3856,0.9141594735078
220,4.405600000000001,0.9123310508246
221,4.4256,0.9104129156914
222,4.445600000000001,0.9084763942052001
223,4.4655,0.9064489890082601
224,4.4855,0.9044040807479999
225,4.5055,0.902351182725
226,4.5255,0.9001969771132
227,4.5455,0.89803483419044
228,4.5653999999999995,0.8957720330999999
229,4.5854,0.89355082337975
230,4.6053999999999995,0.891245783268528
231,4.6254,0.8889069752483311
232,4.6453999999999995,0.88652535513244
233,4.6653,0.88411225736834
234,4.6853,0.8816474326248961
235,4.7053,0.879148441164528
236,4.7253,0.8766170466216001
237,4.7453,0.874041976843554
238,4.7652,0.8714444885177
239,4.7852,0.868820940684399
240,4.8052,0.980903525507531
241,4.8252,0.9810086501319999
242,4.8452,0.9811047983964
243,4.8651,0.981181910493324
244,4.8851,0.9812399963016
245,4.9051,0.9812989309685801
246,4.9251000000000005,0.9813474567340541
247,4.9451,0.9813868110117632
248,4.965,0.9814169859830161
249,4.985,0.9814192527511321
250,5.005,0.98142095734025
251,5.025,0.9814034599534799
252,5.045,0.98138659359048
253,5.0649,0.9813504355422
254,5.084899999999999,0.9812949214851642
255,5.1049,0.98123998731424
256,5.124899999999999,0.9849699356398747
257,5.1449,0.9850904128334359
258,5.1648000000000005,0.9852072277530468
259,5.1848,0.9853103769606666
260,5.2048000000000005,0.9854116066555968
261,5.2248,0.9855073584647199
262,5.244800000000001,0.985603849712
263,5.2646999999999995,0.985681290545
264,5.2847,0.985768557263616
265,5.3046999999999995,0.98583673456788
266,5.3247,0.9858947478528001
267,5.3447,0.9859625461595
268,5.3646,0.986011243106155
269,5.384600000000001,0.9860507496060479
270,5.4046,0.9860900538272491
271,5.424600000000001,0.9861291426554261
272,5.4446,0.98615000988672
273,5.4645,0.9873930018764121
274,5.4845,0.9874697679140801
275,5.5045,0.9875437246760064
276,5.5245,0.98761123835121
277,5.5445,0.987675893548432
278,5.5644,0.987741358261014
279,5.5844,0.9877876372694239
280,5.6044,0.9878428736436601
281,5.6244,0.9878798088497419
282,5.644399999999999,0.9879156932702791
283,5.6643,0.98795233786576
284,5.6843,0.9879788520876961
285,5.7043,0.988006080212784
286,5.7243,0.98802314892965
287,5.7443,0.9880209551700001
288,5.7642,0.9880285766554601
289,5.7842,0.988026872043621
290,5.8042,0.9880149885660652
291,5.824199999999999,0.9880129326855399
292,5.8442,0.98799151838084
293,5.8641000000000005,0.9879607539372959
294,5.8841,0.9879297689845119
295,5.904100000000001,0.9878794115952341
296,5.9241,0.9878388255814761
297,5.944100000000001,0.9877888170051421
298,5.964,0.987719400561768
299,5.984,0.98764973282088
300,6.004,0.9875706047428079
301,6.024,0.9874912541034959
302,6.044,0.9874024247967
303,6.063899999999999,0.987304101162519
304,6.0839,0.9871962221256
305,6.103899999999999,0.9870781906073299
306,6.1239,0.98695053823546
307,6.1438999999999995,0.986832641578825
308,6.1638,0.9866858971121879
309,6.1838,0.9865388924558781
310,6.2038,0.9863823196144059
311,6.2238,0.9862161667578361
312,6.2438,0.9860496853608499
313,6.2637,0.9858542714963161
314,6.2837,0.9856685831374999
315,6.3037,0.985473205790122
316,6.3237,0.98525826982804
317,6.3437,0.98504297811882
318,6.3636,0.9848086852888269
319,6.3836,0.984574568086368
320,6.4036,0.984330322454458
321,6.4236,0.9840762315666102
322,6.4436,0.983793260598869
323,6.4635,0.983547979128
324,6.4835,0.9832365493135201
325,6.5035,0.9829148860414002
326,6.5235,0.9826028004902398
327,6.5435,0.9822803976752
328,6.5634,0.9819675806700001
329,6.583399999999999,0.98164446190668
330,6.6034,0.98132105852928
331,6.623399999999999,0.98090291227515
332,6.6434,0.9805787867956499
333,6.6633000000000004,0.9801598274399401
334,6.6833,0.97974051919788
335,6.7033000000000005,0.9793207258812
336,6.7233,0.97890060343125
337,6.7433000000000005,0.97848000570882
338,6.763199999999999,0.9780492576988
339,6.7832,0.97762788997376
340,6.8031999999999995,0.97719622547002
341,6.8232,0.97667929978882
342,6.8431999999999995,0.97615219564848
343,6.8631,0.9757194679387999
344,6.883100000000001,0.975201169838
345,6.9031,0.9746727383827201
346,6.923100000000001,0.9741437954490001
347,6.9431,0.9736145577345601
348,6.963,0.97298970795025
349,6.983,0.97245942927096
350,7.003,0.9718336919163599
351,7.023,0.97130262063792
352,7.043,0.97067603527263
353,7.0629,0.9700391418608799
354,7.0828999999999995,0.9694114526573999
355,7.1029,0.96877373943552
356,7.1229,0.96814523063727
357,7.1429,0.96742099784024
358,7.1628,0.9667819488265201
359,7.1828,0.9660468454059999
360,7.2028,0.9653208566265
361,7.2228,0.9645848866320998
362,7.2428,0.9638483448879399
363,7.2627,0.96312124251824
364,7.2827,0.9623838975934401
365,7.3027,0.9616459966800001
366,7.3227,0.9608121079999999
367,7.3427,0.9600730682045201
368,7.3626000000000005,0.9592383632832
369,7.3826,0.958402685412
370,7.4026000000000005,0.95756679195104
371,7.4226,0.9567303086124
372,7.4426000000000005,0.95588363261268
373,7.4625,0.9550463972241501
374,7.4825,0.95411253993677
375,7.5025,0.9532741285380001
376,7.5225,0.9523299140819999
377,7.5425,0.9513946591620001
378,7.562399999999999,0.950449242344
379,7.5824,0.9495127653871999
380,7.602399999999999,0.9485666338940001
381,7.6224,0.9476294425200001
382,7.642399999999999,0.9465858582230698
383,7.6623,0.9456474544881099
384,7.682300000000001,0.9446031495350401
385,7.7023,0.94355823220729
386,7.722300000000001,0.94252216619444
387,7.7423,0.9414765758972
388,7.7622,0.9404298213267199
389,7.7822,0.9393830388424601
390,7.8022,0.9383362613174
391,7.8222,0.9372011791218
392,7.8422,0.93615321640068
393,7.862100000000001,0.9350074635532499
394,7.8821,0.9338623512693
395,7.902100000000001,0.9328126301424
396,7.9221,0.93166567184544
397,7.9421,0.9304220773171501
398,7.962,0.92926522687931
399,7.982,0.9281171186456001
400,8.002,0.926872362384
401,8.022,0.9257230474492
402,8.042,0.9244770606713101
403,8.0619,0.9232211878412799
404,8.0819,0.92207159845888
405,8.101899999999999,0.92082379886475
406,8.1219,0.9195761696044001
407,8.1419,0.91822099661088
408,8.1618,0.9169721542945801
409,8.1818,0.9157143595817
410,8.201799999999999,0.914367356808
411,8.2218,0.9131084282982399
412,8.2418,0.911760194355
413,8.261700000000001,0.91040307124197
414,8.2817,0.9090544831396801
415,8.3017,0.9076970892963999
416,8.3217,0.90634730274007
417,8.341700000000001,0.9049887659366499
418,8.361600000000001,0.9036387367095
419,8.3816,0.9022790707772399
420,8.4016,0.9008216423255201
421,8.4216,0.899431673648104
422,8.441600000000001,0.898021983689666
423,8.4615,0.8965919639587678
424,8.4815,0.89515267331312
425,8.5015,0.893712822522728
426,8.5215,0.8922618967889999
427,8.5415,0.890802526942656
428,8.561399999999999,0.889331780427904
429,8.5814,0.887861580404224
430,8.6014,0.8863702265586839
431,8.6214,0.8848794421376001
432,8.641399999999999,0.8833686226912002
433,8.661299999999999,0.8818572473440199
434,8.681299999999998,0.88034651116256
435,8.7013,0.8788145425414399
436,8.7213,0.8772832372230001
437,8.741299999999999,0.8757416482683401
438,8.7612,0.874188512456896
439,8.7812,0.87263608023735
440,8.801200000000001,0.8710746423372
441,8.821200000000001,0.869501629772
