xs,ys,Es,nXs,nYs
-16.599997,8.2575554,2.3505628,3,4
-14.403107,-15.044862,9.6109527,5,6
21.807791,-23.069261,1.5232086,4,4
-6.642344,-2.6847868,9.8311289,9,8
8.7152923,-22.885775,2.4146101,3,4
-17.810822,-7.4802546,11.854206,9,7
-0.58529192,-17.265226,5.7259744,7,8
19.47,22.473074,2.2515521,3,5
11.034587,22.183232,1.7633211,3,3
22.98833,-17.069227,2.4174281,3,4
-10.35253,-13.626985,8.4470098,4,4
-20.23791,12.204241,2.2181366,4,3
-11.969425,-5.8061289,3.7921367,6,6
-0.38530642,10.734565,4.2146137,7,7
-14.572518,-16.16618,4.2488777,5,6
3.3547115,10.989676,11.953102,8,10
-20.346133,-23.245744,1.5275193,4,3
-5.0128663,-22.158808,1.886057,4,4
-12.026621,17.651584,2.7528765,6,5
21.944435,17.47662,2.1763298,5,5
-16.523749,-20.648395,1.5621987,3,3
15.305738,-5.5647203,3.4101512,6,6
24.360161,-18.283657,1.8956095,3,3
-8.7945316,1.1060197,8.9179577,7,6
-19.921143,-4.9469631,2.4926014,5,3
22.940397,17.019588,2.2690491,4,6
7.7928526,-6.363922,7.6202288,5,4
18.80952,0.2210161,5.8417396,6,8
-10.104506,3.5807416,8.2636863,8,8
17.707478,-9.175259,8.3483699,6,5
5.0880485,-13.586185,9.7344493,7,7
-16.629111,-4.0604436,6.825407,9,7
-9.2157144,5.2439377,11.116483,9,9
-7.8631332,-1.3423508,9.8248392,7,7
-4.1276349,-18.393639,6.7572666,8,7
-1.4997698,-21.413265,8.9021758,5,4
-2.7480772,-11.217949,7.1163946,4,4
-7.7087232,-1.0873487,10.622297,8,8
18.382663,-22.235242,1.9722612,5,3
-9.5912828,-2.6448499,11.940482,7,7
-2.8456964,-19.85922,8.8794015,4,5
-21.443245,16.323794,2.2092294,3,2
1.1961986,20.668721,2.2017538,3,4
-4.9642208,-16.436361,8.504577,8,9
-5.4626235,-5.4201577,9.2260209,7,7
18.365028,-19.255078,3.2466924,6,5
1.467807,-14.391162,9.3058051,7,7
-24.072893,-0.23010193,1.8374291,3,2
-7.3979798,-17.35524,8.7718635,7,7
14.789292,17.884525,2.9544136,4,4
6.1774338,9.112537,8.9942468,8,8
-0.98146702,-6.2620975,9.076056,6,4
-0.30366845,-17.175646,9.3249764,7,8
17.572788,-20.930145,1.5540094,3,5
-7.7205342,-5.5712601,4.3335864,6,5
4.7297706,4.9668323,8.6605867,6,5
-4.6083073,6.2723706,3.6666235,7,6
11.931905,-2.8421067,10.404099,5,6
2.8971073,-13.374742,6.2180101,8,7
8.047066,23.611871,2.2836,2,3
-4.764821,-17.102986,7.0106643,7,6
2.4337681,16.761898,7.1371358,6,5
13.733842,12.843712,8.3791074,6,6
-18.365204,-9.1740354,7.1436975,7,6
15.024646,18.993983,2.7679443,5,5
9.7303547,-5.2088643,5.1399667,4,6
-10.79314,0.98356657,8.9480377,6,7
12.521494,-4.2231338,10.049142,5,4
-7.2803468,-15.133707,7.5971568,5,4
-22.029225,7.4273235,1.3982879,3,3
-10.243018,-19.186234,6.8652773,7,6
19.214573,-2.0344734,6.3658133,4,4
-5.4102505,9.0530279,7.2675361,6,7
-23.067856,9.4299108,1.0068308,3,2
1.8130865,-19.820068,2.1922625,6,4
12.615736,2.6967446,8.7243044,5,5
23.502769,19.228755,1.881385,4,2
-6.7225098,-5.5973789,9.9477194,7,6
-2.2203223,-12.48311,9.723458,6,8
-7.8959794,-19.438449,2.1448519,4,4
-4.8523959,1.7586471,1.2713543,3,3
-20.762607,-20.926478,1.9213293,4,3
-19.487843,5.253269,4.3143127,3,4
20.18632,5.9258906,2.2509578,5,7
-22.547679,6.4427543,1.2335887,3,4
-18.052195,-14.526019,3.0142263,6,6
6.3886801,1.3638448,3.723065,4,6
18.029295,-12.782248,9.3678367,5,3
-7.4679522,6.171726,8.5597126,4,3
-11.139058,23.731559,1.5363868,3,4
7.7845042,-3.3309215,7.0312995,6,5
-1.258217,5.7344839,11.105368,8,8
6.0663077,6.2992624,8.8715429,9,7
-6.3630574,-23.661137,2.5045679,6,4
-5.7506841,5.8629076,4.3495352,6,7
-9.9083535,-2.4157438,9.4697179,5,5
22.189874,7.506228,2.4069064,3,4
-7.4118001,-13.97037,9.0941853,8,12
-12.927598,3.7789075,11.677507,5,8
22.095894,14.241839,3.2515401,7,7
23.391903,15.029928,1.4353642,4,3
3.3192098,-13.19261,4.1444034,6,5
23.230651,9.297818,1.9571238,3,4
1.4254243,19.064844,1.1221553,3,2
25.411779,11.46526,2.277519,5,5
-6.8513598,-1.3066708,3.1470845,8,5
16.473399,-18.082068,2.9563767,7,6
4.9345195,14.286491,2.665058,4,4
7.4431171,23.231397,2.0859683,3,4
-18.06699,-13.935745,1.3376525,4,4
-5.2983852,2.2021578,8.4514809,7,7
-10.488336,22.402522,1.5551637,2,3
-8.7374838,7.3426251,8.0141372,7,7
-14.039471,-0.36007066,8.5452848,7,5
-18.957533,1.6253218,4.6715163,5,4
9.7948864,-20.097868,1.6462323,4,4
-0.67352932,18.713071,2.6431115,6,6
-0.34129933,-17.648201,8.6788971,7,8
-3.4547381,17.282502,6.3208217,7,9
-2.3865081,17.425134,7.9613746,7,6
4.9119098,15.250088,3.251737,3,2
14.736202,10.604611,7.8107076,4,3
-23.537677,-0.39911914,1.5504097,4,3
10.946714,-20.436568,1.8593944,5,5
9.0193275,7.5255888,6.5815548,7,10
23.066673,17.004385,2.3244418,3,3
10.934584,-1.2338936,4.5991147,5,5
-17.098376,-2.8645746,2.6535902,5,3
1.1106256,14.023889,8.051574,5,6
-14.281578,-22.57607,1.6401485,6,3
8.004812,-8.6665116,6.1104669,6,5
