x	y	z	zMean
21.45	21.375	0	0
21.45	21.475	0	0
21.45	21.575	0	0
21.45	21.675	0	0
21.45	21.775	0	0
21.45	21.875	0	0
21.45	21.975	0	0
21.45	22.075	0	0
21.45	22.175	0	0
21.45	22.275	0	0
21.45	22.375	0	0
21.45	22.475	0	0
21.45	22.575	0	0
21.45	22.675	0	0
21.45	22.775	0	0
21.45	22.875	0	0
21.45	22.975	0	0
21.45	23.075	0	0
21.45	23.175	0	0
21.45	23.275	0	0
21.45	23.375	0	0
21.45	23.475	0	0
21.45	23.575	0	0
21.45	23.675	0	0
21.45	23.775	0	0
21.45	23.875	0	0
21.45	23.975	0	0
21.45	24.075	0	0
21.45	24.175	0	0
21.45	24.275	0	0
21.45	24.375	0	0
21.45	24.475	0	0
21.45	24.575	0	0
21.45	24.675	0	0
21.45	24.775	0	0
21.45	24.875	0	0
21.45	24.975	0	0
21.45	25.075	0	0
21.45	25.175	0	0
21.45	25.275	0	0
21.45	25.375	0	0
21.45	25.475	0	0
21.45	25.575	0	0
21.45	25.675	0	0
21.45	25.775	0	0
21.45	25.875	0	0
21.45	25.975	0	0
21.45	26.075	0	0
21.45	26.175	0	0
21.45	26.275	0	0
21.45	26.375	0	0
21.45	26.475	0	0
21.45	26.575	0	0
21.45	26.675	0	0
21.45	26.775	0	0
21.45	26.875	0	0
21.45	26.975	0	0
21.45	27.075	0	0
21.45	27.175	0	0
21.45	27.275	0	0
21.45	27.375	0	0
21.45	27.475	0	0
21.45	27.575	0	0
21.45	27.675	0	0
21.45	27.775	2	0.020833333
21.45	27.875	0	0
21.45	27.975	4	0.041666667
21.45	28.075	9	0.09375
21.45	28.175	13	0.13541667
21.45	28.275	16	0.16666667
21.45	28.375	33	0.34375
21.45	28.475	44	0.45833333
21.45	28.575	48	0.5
21.45	28.675	66	0.6875
21.45	28.775	82	0.85416667
21.45	28.875	73	0.76041667
21.45	28.975	101	1.0520833
21.45	29.075	117	1.21875
21.45	29.175	130	1.3541667
21.45	29.275	126	1.3125
21.45	29.375	149	1.5520833
21.45	29.475	163	1.6979167
21.45	29.575	153	1.59375
21.45	29.675	175	1.8229167
21.45	29.775	175	1.8229167
21.45	29.875	169	1.7604167
21.45	29.975	182	1.8958333
21.45	30.075	182	1.8958333
21.45	30.175	147	1.53125
21.45	30.275	172	1.7916667
21.45	30.375	167	1.7395833
21.45	30.475	175	1.8229167
21.45	30.575	119	1.2395833
21.45	30.675	136	1.4166667
21.45	30.775	127	1.3229167
21.45	30.875	120	1.25
21.45	30.975	109	1.1354167
21.45	31.075	113	1.1770833
21.45	31.175	138	1.4375
21.45	31.275	112	1.1666667
21.45	31.375	127	1.3229167
21.45	31.475	134	1.3958333
21.45	31.575	155	1.6145833
21.45	31.675	163	1.6979167
21.45	31.775	155	1.6145833
21.45	31.875	176	1.8333333
21.45	31.975	150	1.5625
21.45	32.075	151	1.5729167
21.45	32.175	157	1.6354167
21.45	32.275	139	1.4479167
21.45	32.375	124	1.2916667
21.45	32.475	108	1.125
21.45	32.575	121	1.2604167
21.45	32.675	123	1.28125
21.45	32.775	113	1.1770833
21.45	32.875	100	1.0416667
21.45	32.975	72	0.75
21.45	33.075	64	0.66666667
21.45	33.175	61	0.63541667
21.45	33.275	49	0.51041667
21.45	33.375	43	0.44791667
21.45	33.475	39	0.40625
21.45	33.575	33	0.34375
21.45	33.675	31	0.32291667
21.45	33.775	19	0.19791667
21.45	33.875	11	0.11458333
21.45	33.975	4	0.041666667
21.45	34.075	2	0.020833333
21.45	34.175	3	0.03125
21.45	34.275	1	0.010416667
21.45	34.375	0	0
21.45	34.475	0	0
21.45	34.575	0	0
21.45	34.675	0	0
21.45	34.775	0	0
21.45	34.875	0	0
21.45	34.975	0	0
21.45	35.075	0	0
21.45	35.175	0	0
21.45	35.275	0	0
21.45	35.375	0	0
21.45	35.475	0	0
21.45	35.575	0	0
21.45	35.675	0	0
21.45	35.775	0	0
21.45	35.875	0	0
21.45	35.975	0	0
21.45	36.075	0	0
21.45	36.175	0	0
21.45	36.275	0	0
