xs,ys,Es
6.5807675,24.371865,4.019193
-7.7390874,20.476946,3.429671
22.06802,7.5315704,10.801552
12.397476,21.884081,1.1515092
-15.481484,15.191472,5.5832295
-23.011086,9.1398089,1.6207998
22.143503,21.440668,2.7104263
-19.289756,-18.127757,1.1354327
22.31387,6.3266474,1.1952369
24.563445,23.878679,2.1284282
0.52900859,2.7574165,8.6972919
18.997593,21.131831,1.27278
5.3161976,-19.618741,2.6419482
9.4663509,21.332961,2.6227725
-19.638546,-23.396478,4.8410842
21.270023,-18.684104,3.1406918
23.200929,-19.100952,1.36751
1.5045762,19.437908,3.9285359
-0.077286241,-23.048584,2.0961822
-19.571161,-23.882643,2.8192021
9.4633847,-18.420876,2.8047189
24.476926,17.101328,2.181529
-11.421858,6.3577835,7.7109844
1.6268962,-5.2219134,8.5819448
6.1232677,-21.172806,2.9309969
24.080302,-1.6592213,2.1958869
-3.2748129,-0.71189352,8.7728753
24.696826,-14.928498,1.799225
18.588878,2.6655075,2.7959028
13.585519,16.894632,7.058415
-20.506793,7.1268499,2.4073691
-19.762146,-19.605353,1.2169091
-0.61150726,-22.970714,2.7138406
8.7770282,-12.459728,3.9052511
-10.513727,22.166322,1.8305978
20.571027,-6.717312,3.3305021
16.150484,-10.888241,9.4248407
-18.977296,-24.180133,3.69541
8.7787326,24.731215,2.8273923
-5.1130231,-16.655747,2.155674
17.026125,-18.338648,4.9913125
-17.602375,24.144874,3.386847
-20.751042,-22.646165,1.2938232
6.2251381,20.457475,2.1308819
22.608172,8.40163,1.9966024
19.523432,-1.8277073,2.2098922
25.795626,-22.003313,1.7837038
-17.968856,-20.322677,1.6090293
23.655176,-24.937474,2.9696573
12.232041,9.059349,2.2838494
0.30878436,-15.808718,8.3183666
22.133485,0.055595305,7.3724251
6.7037662,-13.696899,8.0606539
23.435349,-3.6564307,2.876924
23.409819,-18.618766,1.5997364
10.995995,23.267634,2.8789354
17.804326,-22.525624,2.9362784
12.457334,7.8919728,10.940374
26.792985,-3.9904505,8.5977702
12.987859,-15.451176,2.9552149
-19.678993,-23.03839,8.945235
4.226352,3.1454405,1.6887187
-6.4092513,-23.885661,2.8893287
4.1356972,6.6742293,6.0183844
-13.118752,-12.781779,9.2801753
-23.19932,-16.097232,1.3594182
21.006378,-9.2234273,2.5487507
23.242089,-23.591563,1.0404302
-22.002777,-21.725036,1.347699
19.991389,12.120746,1.5704814
-3.868911,21.528807,3.5754593
-11.00901,14.074973,2.4505509
19.931683,0.75228352,4.9486839
-24.533622,-22.062897,1.3495515
-2.935394,-22.961081,1.2707107
1.6642815,4.266354,8.4588399
26.3539,-4.2852424,7.7163009
25.710016,4.5049729,7.0943187
22.157856,18.396163,5.5708471
6.4506461,21.551653,0.91221538
23.000357,12.77098,2.2734162
-23.647385,12.865582,2.4043302
25.737846,6.8490398,2.6318814
21.606286,9.5041337,9.6468341
-23.166078,-10.441879,1.5541809
2.7028257,-23.180163,1.4284416
-21.908757,-3.3850328,1.5440869
-18.32555,7.660455,1.8232597
7.9327495,4.4563287,4.7152083
-18.917495,-4.2696786,2.6120816
3.8033683,-20.859875,8.5898864
-19.761495,-18.231009,5.8853765
-22.234856,0.6287938,9.5545954
