PositionX	PositionY
61.286127	61.066465
60.926928	55.223670
57.842327	57.838150
64.617177	55.888310
18.000000	4.000000
84.930348	102.000000
62.734874	103.537664
62.459815	54.973203
15.234725	21.100288
93.033085	44.546361
80.198251	101.321196
62.604938	56.873461
61.000000	104.000000
60.268041	62.603465
22.890852	32.936404
28.754717	70.679632
59.274341	61.042208
65.038748	67.128551
54.000000	108.959420
65.341920	33.084211
77.313835	68.143182
61.415309	77.413029
48.158763	99.598377
76.370892	67.656808
56.383562	56.882295
56.754070	90.808102
64.923568	18.508462
24.063683	99.864662
62.745763	59.238455
47.173913	84.829091
80.164414	104.185535
48.208996	77.715678
41.193056	59.144424
70.913210	91.715666
61.428805	60.587522
104.916159	106.382440
84.851366	28.404642
59.292373	55.809217
57.099693	59.394737
61.268417	54.347826
63.529680	58.492669
58.174107	56.238565
63.869593	60.454782
58.493694	56.047970
65.112926	51.639506
64.204019	55.412141
64.184316	53.007427
60.773031	59.489635
63.728243	57.353612
62.307116	59.559548
64.493163	56.694524
60.066322	59.523172
64.129518	52.468458
62.919255	59.328733
58.461625	57.066219
59.834928	57.522191
62.917722	58.211964
71.882212	91.015763
64.857705	57.862550
63.998762	61.119868
87.428571	22.662577
61.684106	56.133379
60.259330	56.327103
62.791096	58.964933
57.047753	59.551320
62.181633	58.362916
60.287273	57.163004
59.000000	67.000000
63.305830	53.509852
104.445457	77.818395
63.457594	57.483254
65.128315	63.933506
58.506870	59.194690
60.736205	55.242611
64.139108	59.729609
63.324367	11.487500
60.975943	56.030562
62.790409	55.746880
62.922344	61.704440
90.983444	66.668421
60.451070	56.433018
18.763757	35.762125
82.587342	14.884750
50.189673	13.008393
58.706915	60.659804
60.953719	61.320667
61.207298	64.491166
100.012439	101.830779
66.166147	54.695688
64.386063	58.867206
40.462963	17.805233
22.280026	35.891775
59.825431	57.141603
75.492330	23.845651
108.039693	41.339259
17.984127	60.634162
102.966667	16.543605
67.799387	36.119114
11.612567	28.274373
32.767442	95.421947
46.139184	105.505737
37.487565	31.703401
77.848580	80.623077
35.550308	98.259813
24.548209	34.804688
59.919926	101.311550
51.351351	99.523923
41.028442	23.554892
88.189130	46.473282
29.548134	103.673697
100.969773	27.488055
35.539197	104.736911
80.909231	41.518550
102.026087	32.014613
38.633482	99.406027
100.384615	42.364583
65.364625	52.704131
52.460517	107.699681
62.372796	53.187359
64.553013	56.553219
52.434540	36.800609
64.076923	56.010121
63.407014	61.164112
60.076180	55.102418
61.111737	56.642636
61.000000	101.000000
63.810870	56.673162
62.830235	60.430239
10.507168	24.328523
63.885733	57.927599
62.822824	55.004125
61.423267	60.395587
61.970486	57.416871
56.684089	56.650707
57.185907	58.654482
63.363194	58.565866
57.146049	58.495426
59.397991	56.652205
50.578723	100.396296
100.561162	16.554962
57.070312	60.701461
31.497797	29.150263
61.880977	62.678762
75.028090	86.314815
55.784956	58.621871
37.397688	103.640685
84.456197	98.982836
65.000000	56.828863
60.362319	55.528261
57.766972	56.148265
61.741935	60.554069
59.532397	58.369159
64.874601	55.764519
62.231253	14.676208
54.183378	96.960486
61.419806	56.339013
62.891386	53.727977
102.941452	89.678877
25.979118	9.865854
83.679775	11.184980
64.729433	73.000000
94.682079	40.704737
104.142012	15.581651
30.974884	43.985030
34.202693	64.641745
80.556131	109.795389
55.269629	103.958128
32.464000	23.026239
44.364729	107.589572
26.848665	61.273070
25.782702	50.742205
102.514019	26.000000
70.085000	68.675030
21.063135	87.603150
100.997730	24.368298
84.881280	24.726073
63.365942	32.878398
97.474299	43.413223
21.897092	18.726923
94.973464	86.058824
73.633218	103.160668
59.899247	55.371831
90.051825	102.075205
58.985449	56.601710
77.237693	98.071264
61.705090	58.067383
60.871738	57.156826
63.194612	56.976962
69.072555	61.361305
57.746334	58.968165
63.881419	56.457746
64.812621	56.027050
45.643731	33.788991
42.182692	62.796895
59.511612	57.136364
54.570045	76.622857
83.090487	41.118644
62.329856	58.285602
63.289881	55.847748
59.812107	57.666387
62.277995	59.474453
61.169173	59.565094
66.180108	94.291667
55.666667	62.156017
27.443371	71.953533
63.732273	59.925406
62.352971	54.552192
59.249315	59.428331
61.771959	55.853826
33.533654	57.360327
61.721812	58.149294
63.310091	53.959459
29.694967	14.732000
66.754510	55.029126
58.282481	54.662234
62.917989	57.488017
58.349005	58.136069
93.312727	8.554286
61.495318	58.365621
76.404459	14.032967
63.700472	60.925457
59.833469	57.083022
62.645122	56.762519
90.070740	91.855928
109.119814	18.705475
94.675676	45.770126
44.376325	100.127940
72.589121	49.407371
68.981443	36.200521
56.475053	78.403670
53.616339	38.657948
100.670188	90.214286
76.306468	57.723187
109.702188	29.000000
47.989143	71.812613
73.361035	22.501024
36.687683	28.803717
102.468531	35.154430
98.863787	27.343643
89.741778	62.704363
46.204686	32.582090
19.564060	73.971654
63.000876	62.641320
13.535076	7.350441
71.440822	104.935464
81.347561	28.548638
37.255265	15.259234
59.372890	55.905590
24.716893	102.021499
60.742998	63.567211
60.456366	56.350061
64.077454	59.235935
59.627024	55.940553
63.793837	57.396426
101.011354	52.115587
62.734115	62.559436
60.078181	56.328100
63.353753	56.645429
61.462940	57.710126
60.879421	54.708391
64.441645	56.572772
61.552464	58.282842
34.278237	19.855474
62.319434	56.337884
64.653625	56.823333
61.343348	60.856810
59.717498	57.558185
15.820593	15.882941
59.545535	59.631082
67.372024	53.558219
59.897412	57.598348
58.199203	58.258671
55.710471	58.364070
62.131637	56.582875
61.963974	62.865878
64.513875	60.307403
46.382955	91.765580
57.889398	57.487753
68.971141	66.510779
62.373768	52.842754
63.452330	59.861631
63.704918	54.455713
60.396341	55.321311
57.551510	59.067995
59.306011	56.554075
62.618820	60.245327
62.518248	62.474503
62.604077	13.214602
63.235176	57.548519
82.715278	99.282178
62.897436	54.578027
48.155340	29.840603
64.780894	58.201315
81.525862	42.063296
70.368159	56.387097
64.167019	57.538270
62.705379	54.977218
105.842217	35.597523
22.349454	37.331169
58.901795	61.405585
60.732751	59.117838
98.843234	62.313312
63.908517	57.553665
56.729268	56.659934
9.706767	20.708333
87.898429	54.204152
13.089462	23.590885
59.525140	60.986339
52.543478	70.507177
47.651540	97.000000
48.276479	99.990006
106.798455	44.900076
88.834547	70.501199
11.598240	15.144518
52.378058	42.813996
43.233618	24.331658
96.317561	45.000000
99.523100	53.899257
62.071471	78.701349
57.836472	57.754610
35.069418	104.065166
96.860562	39.535552
31.711538	37.108042
101.282220	48.324622
87.483165	40.000000
16.255183	85.106754
53.788641	44.891775
106.362840	15.668186
62.269975	59.151538
75.415589	56.468496
59.683659	59.829787
59.541895	60.884682
63.256952	59.953957
62.911595	57.263971
95.332283	41.952790
52.001980	66.427241
60.997712	61.720294
64.625931	54.539326
58.277408	59.914118
53.736458	76.910209
65.027559	56.659591
57.664754	56.927326
88.032189	23.000000
63.745080	56.250449
62.652008	53.961173
64.531883	58.222308
63.751208	56.272364
32.590953	7.302760
57.144864	59.487805
62.340899	61.917663
60.402923	55.114391
61.956422	59.564619
58.679245	59.344718
61.672870	54.468366
58.285469	56.841128
70.459745	70.716245
58.699039	68.449086
59.800957	58.135877
60.799111	65.102786
59.708333	55.115135
97.338384	35.538095
63.098814	56.891636
61.908918	57.025381
62.939954	57.898141
26.683053	22.134705
109.830303	23.546700
58.823465	58.534500
42.922601	85.880972
79.435995	21.981520
61.787500	53.867257
74.654277	101.486795
63.730442	55.636226
60.335239	56.103448
29.256298	109.635593
64.053254	101.989290
90.297359	30.744910
52.360134	57.210245
86.292115	13.926671
31.420238	76.526814
21.438153	62.547135
39.309061	81.130225
55.562434	101.985267
61.304296	61.426554
98.037772	87.088152
40.004582	78.407200
34.722332	33.773222
74.025551	72.416620
28.451423	95.263682
74.472182	75.249047
62.793833	54.760748
61.260372	58.008499
56.979182	56.919790
65.192509	54.957887
66.319192	54.487218
61.516408	58.124060
109.803333	98.012712
59.090909	56.727975
61.230081	62.664506
61.810848	57.586589
103.951338	41.000000
63.392979	60.897032
60.924917	59.588714
61.378117	56.344558
64.000000	54.000000
62.444204	59.382382
66.491361	56.210600
63.530669	58.850185
58.109375	55.785633
63.326117	57.722390
63.978794	56.332085
57.253968	57.301754
60.221925	56.732930
64.637500	56.803364
27.965649	99.063655
59.780702	62.584521
63.310406	55.143200
54.842661	60.573680
35.056940	38.065364
60.918019	56.271899
58.534021	58.179698
60.581597	57.643247
65.857620	58.197772
61.188967	60.560133
65.831985	51.093546
60.403185	56.954484
59.574722	55.624446
65.000000	56.000000
60.027478	59.947735
65.011719	56.107412
63.577993	52.847630
58.942222	58.793186
45.571223	49.957401
64.605142	56.230412
59.858687	56.167085
36.505964	70.348206
58.506441	56.820318
17.291235	33.330334
59.369231	59.407329
63.242529	60.245312
60.291262	54.862974
39.207161	88.348226
64.017914	56.761506
53.642209	25.529960
47.698679	29.029138
56.347458	31.962563
70.647904	26.791529
59.837696	93.603306
71.605347	89.289882
15.008079	25.890038
102.023810	32.000000
56.173675	66.191144
47.698643	11.825581
29.169054	92.029330
20.994076	30.565398
21.776683	23.337533
87.000000	56.655629
27.000000	13.364729
61.354376	55.814973
64.392741	14.693034
107.548097	31.788845
50.944624	32.163992
79.910165	24.931009
96.426844	46.640665
59.144410	55.511556
86.207178	28.039267
87.271242	28.542199
18.905941	56.366667
63.812678	58.561983
63.054472	58.773929
59.097146	56.254967
63.453364	53.323609
61.747606	55.031737
63.026851	58.449495
63.552381	63.844896
68.564027	67.463170
60.885882	55.578475
65.766026	55.442949
63.517520	56.555222
60.022481	57.626066
58.810375	56.158083
61.077485	60.296207
62.208333	53.303993
64.140559	55.560781
64.933766	56.081381
48.419811	21.026775
62.642805	54.637662
62.717626	57.249400
25.700812	39.433747
64.720339	56.687172
60.260540	56.819558
63.534024	59.482742
62.238532	57.467787
63.886792	52.747268
57.647059	56.846096
59.091411	56.554502
61.893887	55.880174
58.795613	55.619626
62.548471	54.242732
71.665229	18.736906
57.726708	60.338438
64.251613	55.687669
18.320184	74.168408
97.910765	50.362530
62.213267	51.660296
64.288497	55.973436
63.605785	57.902787
62.041667	57.154341
72.185599	109.104022
65.183673	60.192982
61.696875	58.173948
57.691784	56.513692
82.849893	17.208884
34.529101	33.082673
24.261014	107.059768
55.807018	48.000000
96.358834	35.550512
25.032176	102.301100
100.565006	61.479451
81.601997	62.386760
50.564494	61.003650
91.341889	75.000000
74.836887	88.239496
95.064286	28.844920
85.247629	62.218694
99.795426	61.561175
98.718791	74.801887
50.648279	39.868622
23.000000	86.629085
66.441742	89.794326
95.000874	34.885537
33.085044	101.633368
17.877159	78.458937
89.095610	53.827852
63.392727	59.294671
62.962716	59.564781
85.438218	89.201432
65.066132	52.618513
59.731629	59.521117
83.943252	86.519497
55.184829	58.778203
62.427857	60.452316
64.654835	57.187086
76.929701	53.000000
52.680902	86.342581
63.970662	56.091709
65.413178	56.615530
61.849842	59.389426
58.573585	74.618253
60.873055	54.671395
60.654899	60.685166
57.607755	57.062762
60.183645	56.490529
65.066202	57.865248
62.451090	54.891415
62.826979	56.617316
55.283962	58.342208
62.296715	64.396721
62.558111	60.612074
62.236280	55.121588
62.562968	56.010172
61.459152	56.383149
51.841937	27.744606
59.701818	82.559211
62.445341	59.546673
62.157783	64.195146
60.340520	54.999375
94.776885	54.712060
60.826742	60.904762
64.651659	58.265217
60.224265	54.678086
66.339104	57.488390
89.352139	75.817996
106.532999	22.546940
94.088835	23.927107
63.967626	56.094159
61.336661	55.214599
29.339357	48.131003
65.409851	57.223881
104.460177	71.728662
90.266409	34.595092
65.494318	57.032663
11.381514	17.182460
98.155327	78.418990
32.392014	39.108108
95.105948	101.555556
94.616425	87.453559
102.321429	66.242038
96.640167	18.509489
60.372955	58.441419
97.171131	19.087087
75.254237	90.666990
82.869718	65.000000
87.521739	64.145985
23.027830	72.820690
76.733945	58.338363
94.802929	103.027174
104.320924	38.548499
45.668990	94.974742
62.459606	60.886722
59.371865	55.830508
67.440608	61.087352
61.666223	57.525811
66.148705	62.142857
59.677922	60.901431
59.152457	57.656061
69.000000	61.946754
53.000000	38.422325
61.626409	56.671572
58.736626	62.170391
59.039749	54.807127
59.907530	59.466775
